WARNING | 2021-12-05 15:21:13,612 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_log_to_stderr
WARNING | 2021-12-05 15:21:13,612 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_markup_type
WARNING | 2021-12-05 15:21:13,612 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_error_count
WARNING | 2021-12-05 15:21:13,612 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_invocation_name
WARNING | 2021-12-05 15:21:13,613 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_print_diag_fun
WARNING | 2021-12-05 15:21:13,613 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_program_name
WARNING | 2021-12-05 15:21:13,613 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_parser_options
WARNING | 2021-12-05 15:21:13,613 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_preprocessor
WARNING | 2021-12-05 15:21:13,613 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_default_port
WARNING | 2021-12-05 15:21:13,613 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_argcv_quoting_style
WARNING | 2021-12-05 15:21:13,619 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 16:22:01,561 | root     | list index out of range
ERROR   | 2021-12-05 16:22:01,561 | root     | got an error while analyzing dicod_server
ERROR   | 2021-12-05 17:28:37,611 | root     | 
ERROR   | 2021-12-05 17:28:37,615 | root     | got an error while analyzing gl_des_ecb_crypt
ERROR   | 2021-12-05 18:15:09,166 | root     | 
ERROR   | 2021-12-05 18:15:09,200 | root     | got an error while analyzing gl_3des_ecb_crypt
ERROR   | 2021-12-05 18:33:02,238 | root     | b'out of memory'
ERROR   | 2021-12-05 18:33:02,239 | root     | got an error while analyzing strftime_case_
ERROR   | 2021-12-05 18:35:11,229 | root     | b'out of memory'
ERROR   | 2021-12-05 18:35:11,231 | root     | got an error while analyzing hash_get_max_bucket_length
ERROR   | 2021-12-05 18:35:51,748 | root     | b'out of memory'
ERROR   | 2021-12-05 18:35:51,751 | root     | got an error while analyzing hash_table_ok
ERROR   | 2021-12-05 18:36:23,256 | root     | b'out of memory'
ERROR   | 2021-12-05 18:36:23,260 | root     | got an error while analyzing hash_get_first
Killed
