ERROR   | 2021-12-05 15:03:42,741 | root     | b'out of memory'
ERROR   | 2021-12-05 15:03:42,744 | root     | got an error while analyzing sort_buffer_size
ERROR   | 2021-12-05 15:05:03,213 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:03,220 | root     | got an error while analyzing limfield
ERROR   | 2021-12-05 15:05:06,074 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:06,075 | root     | got an error while analyzing fillbuf
ERROR   | 2021-12-05 15:05:36,847 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:37,204 | root     | got an error while analyzing find_unit_order
ERROR   | 2021-12-05 15:06:23,587 | root     | list index out of range
ERROR   | 2021-12-05 15:06:23,587 | root     | got an error while analyzing nan_compare
ERROR   | 2021-12-05 15:06:24,219 | root     | list index out of range
ERROR   | 2021-12-05 15:06:24,220 | root     | got an error while analyzing general_numcompare
ERROR   | 2021-12-05 15:10:56,500 | root     | b'out of memory'
ERROR   | 2021-12-05 15:10:56,502 | root     | got an error while analyzing debug_key
ERROR   | 2021-12-05 15:11:12,752 | root     | b'out of memory'
ERROR   | 2021-12-05 15:11:12,752 | root     | got an error while analyzing default_key_compare
ERROR   | 2021-12-05 15:11:13,545 | root     | b'out of memory'
ERROR   | 2021-12-05 15:11:13,545 | root     | got an error while analyzing key_to_opts
ERROR   | 2021-12-05 15:11:14,413 | root     | b'out of memory'
ERROR   | 2021-12-05 15:11:14,577 | root     | got an error while analyzing key_warnings
Killed
