WARNING | 2021-12-05 19:22:19,199 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_syslog
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-05 19:22:19,200 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-05 19:22:19,204 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 19:32:25,479 | root     | b'out of memory'
ERROR   | 2021-12-05 19:32:25,482 | root     | got an error while analyzing find_user
ERROR   | 2021-12-05 19:32:25,805 | root     | b'out of memory'
ERROR   | 2021-12-05 19:32:25,806 | root     | got an error while analyzing change_user
ERROR   | 2021-12-05 19:32:26,096 | root     | b'out of memory'
ERROR   | 2021-12-05 19:32:26,097 | root     | got an error while analyzing mailbox_path
