ERROR   | 2021-12-05 15:19:03,828 | root     | list index out of range
ERROR   | 2021-12-05 15:19:03,828 | root     | got an error while analyzing finalize_numeric_output_buffer
ERROR   | 2021-12-05 15:19:12,805 | root     | list index out of range
ERROR   | 2021-12-05 15:19:12,805 | root     | got an error while analyzing is_zero
ERROR   | 2021-12-05 15:19:13,656 | root     | list index out of range
ERROR   | 2021-12-05 15:19:13,657 | root     | got an error while analyzing is_signed_zero
ERROR   | 2021-12-05 15:19:18,228 | root     | list index out of range
ERROR   | 2021-12-05 15:19:18,228 | root     | got an error while analyzing cmp_long_double
ERROR   | 2021-12-05 15:19:19,312 | root     | list index out of range
ERROR   | 2021-12-05 15:19:19,312 | root     | got an error while analyzing median_value
ERROR   | 2021-12-05 15:20:40,838 | root     | list index out of range
ERROR   | 2021-12-05 15:20:40,839 | root     | got an error while analyzing percentile_value
ERROR   | 2021-12-05 15:20:41,399 | root     | list index out of range
ERROR   | 2021-12-05 15:20:41,399 | root     | got an error while analyzing mad_value
ERROR   | 2021-12-05 15:20:41,936 | root     | list index out of range
ERROR   | 2021-12-05 15:20:41,936 | root     | got an error while analyzing arithmetic_mean_value
ERROR   | 2021-12-05 15:20:42,476 | root     | list index out of range
ERROR   | 2021-12-05 15:20:42,476 | root     | got an error while analyzing variance_value
ERROR   | 2021-12-05 15:20:43,019 | root     | list index out of range
ERROR   | 2021-12-05 15:20:43,019 | root     | got an error while analyzing covariance_value
ERROR   | 2021-12-05 15:20:43,560 | root     | list index out of range
ERROR   | 2021-12-05 15:20:43,561 | root     | got an error while analyzing pearson_corr_value
ERROR   | 2021-12-05 15:20:44,751 | root     | list index out of range
ERROR   | 2021-12-05 15:20:44,752 | root     | got an error while analyzing stdev_value
ERROR   | 2021-12-05 15:20:45,295 | root     | list index out of range
ERROR   | 2021-12-05 15:20:45,295 | root     | got an error while analyzing skewness_value
ERROR   | 2021-12-05 15:20:46,681 | root     | list index out of range
ERROR   | 2021-12-05 15:20:46,681 | root     | got an error while analyzing SES_value
ERROR   | 2021-12-05 15:20:47,232 | root     | list index out of range
ERROR   | 2021-12-05 15:20:47,232 | root     | got an error while analyzing skewnessZ_value
ERROR   | 2021-12-05 15:20:47,814 | root     | list index out of range
ERROR   | 2021-12-05 15:20:47,814 | root     | got an error while analyzing excess_kurtosis_value
ERROR   | 2021-12-05 15:20:48,356 | root     | list index out of range
ERROR   | 2021-12-05 15:20:48,356 | root     | got an error while analyzing SEK_value
ERROR   | 2021-12-05 15:20:48,904 | root     | list index out of range
ERROR   | 2021-12-05 15:20:48,904 | root     | got an error while analyzing kurtosisZ_value
ERROR   | 2021-12-05 15:20:49,501 | root     | list index out of range
ERROR   | 2021-12-05 15:20:49,501 | root     | got an error while analyzing pchisq_df2
ERROR   | 2021-12-05 15:20:50,502 | root     | list index out of range
ERROR   | 2021-12-05 15:20:50,502 | root     | got an error while analyzing jarque_bera_pvalue
ERROR   | 2021-12-05 15:20:51,046 | root     | list index out of range
ERROR   | 2021-12-05 15:20:51,046 | root     | got an error while analyzing dagostino_pearson_omnibus_pvalue
ERROR   | 2021-12-05 15:20:51,594 | root     | list index out of range
ERROR   | 2021-12-05 15:20:51,594 | root     | got an error while analyzing mode_value
ERROR   | 2021-12-05 15:20:52,143 | root     | list index out of range
ERROR   | 2021-12-05 15:20:52,143 | root     | got an error while analyzing trimmed_mean_value
Killed
