ERROR   | 2021-12-05 19:07:26,983 | root     | list index out of range
ERROR   | 2021-12-05 19:07:26,984 | root     | got an error while analyzing adjust_value
ERROR   | 2021-12-05 19:26:45,596 | root     | b'out of memory'
ERROR   | 2021-12-05 19:26:45,600 | root     | got an error while analyzing humblock
ERROR   | 2021-12-05 19:27:55,547 | root     | b'out of memory'
ERROR   | 2021-12-05 19:27:55,551 | root     | got an error while analyzing mbsalign
ERROR   | 2021-12-05 19:27:56,164 | root     | b'out of memory'
ERROR   | 2021-12-05 19:27:56,167 | root     | got an error while analyzing ambsalign
ERROR   | 2021-12-05 19:30:38,371 | root     | b'out of memory'
ERROR   | 2021-12-05 19:30:38,372 | root     | got an error while analyzing mbsnwidth
ERROR   | 2021-12-05 19:34:01,829 | root     | b'out of memory'
ERROR   | 2021-12-05 19:34:01,836 | root     | got an error while analyzing mbsstr_trimmed_wordbounded
ERROR   | 2021-12-05 19:35:08,802 | root     | b'out of memory'
ERROR   | 2021-12-05 19:35:08,842 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-05 19:35:09,967 | root     | b'out of memory'
ERROR   | 2021-12-05 19:35:09,973 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-05 19:40:48,215 | root     | b'out of memory'
ERROR   | 2021-12-05 19:40:48,218 | root     | got an error while analyzing trim2
ERROR   | 2021-12-05 19:43:47,384 | root     | list index out of range
ERROR   | 2021-12-05 19:43:47,387 | root     | got an error while analyzing bkm_scale
ERROR   | 2021-12-05 19:46:00,057 | root     | b'out of memory'
ERROR   | 2021-12-05 19:46:00,071 | root     | got an error while analyzing xstrtoumax
ERROR   | 2021-12-05 19:46:06,464 | root     | b'out of memory'
ERROR   | 2021-12-05 19:46:06,465 | root     | got an error while analyzing cdb_init
ERROR   | 2021-12-05 19:46:07,056 | root     | b'out of memory'
ERROR   | 2021-12-05 19:46:07,056 | root     | got an error while analyzing cdb_fchdir
Killed
