ERROR   | 2021-12-05 15:02:22,738 | root     | b'out of memory'
ERROR   | 2021-12-05 15:02:22,738 | root     | got an error while analyzing tee_files
ERROR   | 2021-12-05 15:02:27,250 | root     | b'out of memory'
ERROR   | 2021-12-05 15:02:27,285 | root     | got an error while analyzing argmatch
ERROR   | 2021-12-05 15:03:42,347 | root     | b'out of memory'
ERROR   | 2021-12-05 15:03:42,349 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-05 15:03:42,753 | root     | b'out of memory'
ERROR   | 2021-12-05 15:03:42,753 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-05 15:05:00,349 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:00,349 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-12-05 15:05:03,067 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:03,077 | root     | got an error while analyzing x2nrealloc
ERROR   | 2021-12-05 15:17:16,208 | root     | b'out of memory'
ERROR   | 2021-12-05 15:17:16,216 | root     | got an error while analyzing locale_charset
