WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_watchdog_timer_rs
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_watchdog_timer_rq
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rs
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rq
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_suspend_bmc_arps_rs
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_suspend_bmc_arps_rq
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_reset_watchdog_timer_rq
WARNING | 2021-12-05 15:36:50,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_reset_watchdog_timer_rs
WARNING | 2021-12-05 15:36:50,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_watchdog_timer_rq
WARNING | 2021-12-05 15:36:50,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_watchdog_timer_rs
WARNING | 2021-12-05 15:36:50,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rq
WARNING | 2021-12-05 15:36:50,046 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 15:47:30,622 | root     | b'out of memory'
ERROR   | 2021-12-05 15:47:30,626 | root     | got an error while analyzing conffile_parse
