WARNING | 2021-12-05 20:05:27,600 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_ldap_module
WARNING | 2021-12-05 20:05:27,600 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_tls_module
WARNING | 2021-12-05 20:05:27,600 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_virtual_module
WARNING | 2021-12-05 20:05:27,600 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_system_module
WARNING | 2021-12-05 20:05:27,600 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_gsasl_module
WARNING | 2021-12-05 20:05:27,601 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_generic_module
WARNING | 2021-12-05 20:05:27,601 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_sql_module
WARNING | 2021-12-05 20:05:27,601 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_pam_module
WARNING | 2021-12-05 20:05:27,601 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-05 20:05:27,601 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_radius_module
WARNING | 2021-12-05 20:05:27,602 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
