ERROR   | 2021-12-05 15:05:00,312 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:00,318 | root     | got an error while analyzing hash_delete
ERROR   | 2021-12-05 15:05:00,802 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:00,802 | root     | got an error while analyzing triple_hash
ERROR   | 2021-12-05 15:05:01,879 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:01,883 | root     | got an error while analyzing triple_hash_no_name
ERROR   | 2021-12-05 15:05:02,408 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:02,415 | root     | got an error while analyzing triple_compare
ERROR   | 2021-12-05 15:05:03,390 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:03,395 | root     | got an error while analyzing triple_compare_ino_str
ERROR   | 2021-12-05 15:05:06,035 | root     | b'out of memory'
ERROR   | 2021-12-05 15:05:06,036 | root     | got an error while analyzing triple_free
ERROR   | 2021-12-05 15:08:44,571 | root     | b'out of memory'
ERROR   | 2021-12-05 15:08:44,576 | root     | got an error while analyzing mode_compile
ERROR   | 2021-12-05 15:11:13,529 | root     | b'out of memory'
ERROR   | 2021-12-05 15:11:13,529 | root     | got an error while analyzing mode_adjust
ERROR   | 2021-12-05 15:11:37,877 | root     | b'out of memory'
ERROR   | 2021-12-05 15:11:38,018 | root     | got an error while analyzing set_custom_quoting
Killed
