ERROR   | 2021-12-05 14:35:10,878 | root     | b'out of memory'
ERROR   | 2021-12-05 14:35:10,911 | root     | got an error while analyzing copy_unescaped_string
ERROR   | 2021-12-05 14:35:12,385 | root     | b'out of memory'
ERROR   | 2021-12-05 14:35:12,385 | root     | got an error while analyzing compile_regex
ERROR   | 2021-12-05 14:35:12,901 | root     | b'out of memory'
ERROR   | 2021-12-05 14:35:12,902 | root     | got an error while analyzing initialize_regex
ERROR   | 2021-12-05 14:42:29,676 | root     | b'out of memory'
ERROR   | 2021-12-05 14:42:29,685 | root     | got an error while analyzing define_all_fields
ERROR   | 2021-12-05 14:51:36,346 | root     | b'out of memory'
ERROR   | 2021-12-05 14:51:36,351 | root     | got an error while analyzing mbsstr_trimmed_wordbounded
ERROR   | 2021-12-05 14:52:36,854 | root     | b'out of memory'
ERROR   | 2021-12-05 14:52:36,855 | root     | got an error while analyzing gettext_quote
ERROR   | 2021-12-05 14:52:38,008 | root     | b'out of memory'
ERROR   | 2021-12-05 14:52:38,008 | root     | got an error while analyzing quotearg_buffer
Killed
