ERROR   | 2021-12-05 15:26:13,374 | root     | b'out of memory'
ERROR   | 2021-12-05 15:26:13,392 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-05 15:26:16,199 | root     | b'out of memory'
ERROR   | 2021-12-05 15:26:16,202 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-05 15:27:19,050 | root     | b'out of memory'
ERROR   | 2021-12-05 15:27:19,057 | root     | got an error while analyzing trim2
ERROR   | 2021-12-05 15:27:19,988 | root     | b'out of memory'
ERROR   | 2021-12-05 15:27:19,994 | root     | got an error while analyzing version_etc_ar
ERROR   | 2021-12-05 15:27:20,338 | root     | b'out of memory'
ERROR   | 2021-12-05 15:27:20,342 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-12-05 15:29:43,322 | root     | b'out of memory'
ERROR   | 2021-12-05 15:29:43,326 | root     | got an error while analyzing xnumtoimax
ERROR   | 2021-12-05 15:29:44,758 | root     | b'out of memory'
ERROR   | 2021-12-05 15:29:44,766 | root     | got an error while analyzing xstr_cd_iconv
ERROR   | 2021-12-05 15:37:53,012 | root     | b'out of memory'
ERROR   | 2021-12-05 15:37:53,016 | root     | got an error while analyzing xstrtoimax
ERROR   | 2021-12-05 15:48:28,713 | root     | b'out of memory'
ERROR   | 2021-12-05 15:48:28,717 | root     | got an error while analyzing locale_charset
Killed
