ERROR   | 2021-11-30 16:44:28,661 | root     | b'out of memory'
ERROR   | 2021-11-30 16:44:28,661 | root     | got an error while analyzing locale_charset
ERROR   | 2021-11-30 16:44:35,391 | root     | b'out of memory'
ERROR   | 2021-11-30 16:44:35,391 | root     | got an error while analyzing mbiter_multi_next
ERROR   | 2021-11-30 16:44:35,717 | root     | b'out of memory'
ERROR   | 2021-11-30 16:44:35,717 | root     | got an error while analyzing mbiter_multi_reloc
ERROR   | 2021-11-30 16:44:36,042 | root     | b'out of memory'
ERROR   | 2021-11-30 16:44:36,042 | root     | got an error while analyzing mbiter_multi_copy
ERROR   | 2021-11-30 16:46:47,047 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:47,048 | root     | got an error while analyzing knuth_morris_pratt_multibyte
ERROR   | 2021-11-30 16:46:55,072 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:55,072 | root     | got an error while analyzing mbuiter_multi_next
ERROR   | 2021-11-30 16:46:55,404 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:55,404 | root     | got an error while analyzing mbuiter_multi_reloc
ERROR   | 2021-11-30 16:46:55,744 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:55,744 | root     | got an error while analyzing mbuiter_multi_copy
ERROR   | 2021-11-30 16:46:56,814 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:56,814 | root     | got an error while analyzing mem_cd_iconv
ERROR   | 2021-11-30 16:46:58,014 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:58,014 | root     | got an error while analyzing str_cd_iconv
ERROR   | 2021-11-30 16:46:58,349 | root     | b'out of memory'
ERROR   | 2021-11-30 16:46:58,349 | root     | got an error while analyzing str_iconv
ERROR   | 2021-11-30 16:47:16,833 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:16,834 | root     | got an error while analyzing freea
ERROR   | 2021-11-30 16:47:17,323 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:17,323 | root     | got an error while analyzing mb_copy
ERROR   | 2021-11-30 16:47:17,540 | root     | b'out of memory'
ERROR   | 2021-11-30 16:47:17,540 | root     | got an error while analyzing is_basic
