ERROR   | 2021-11-30 20:11:39,269 | root     | list index out of range
ERROR   | 2021-11-30 20:11:39,270 | root     | got an error while analyzing ldtoastr
ERROR   | 2021-11-30 20:24:03,365 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:03,365 | root     | got an error while analyzing xstrtoumax
ERROR   | 2021-11-30 20:24:04,116 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:04,116 | root     | got an error while analyzing rpl_fclose
ERROR   | 2021-11-30 20:24:04,492 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:04,492 | root     | got an error while analyzing clear_ungetc_buffer_preserving_position
ERROR   | 2021-11-30 20:24:05,555 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:05,555 | root     | got an error while analyzing rpl_fseeko
ERROR   | 2021-11-30 20:24:06,036 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:06,036 | root     | got an error while analyzing c_strcasecmp
ERROR   | 2021-11-30 20:24:06,828 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:06,828 | root     | got an error while analyzing close_stream
ERROR   | 2021-11-30 20:24:07,381 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:07,381 | root     | got an error while analyzing get_charset_aliases
ERROR   | 2021-11-30 20:24:07,953 | root     | b'out of memory'
ERROR   | 2021-11-30 20:24:07,953 | root     | got an error while analyzing locale_charset
