ERROR   | 2021-11-30 15:47:37,472 | root     | b'out of memory'
ERROR   | 2021-11-30 15:47:37,473 | root     | got an error while analyzing decode_switches
ERROR   | 2021-11-30 15:50:01,012 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:01,017 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-11-30 15:50:04,079 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:04,114 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-11-30 15:50:16,257 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:16,258 | root     | got an error while analyzing quotearg_alloc_mem
ERROR   | 2021-11-30 15:50:17,044 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:17,046 | root     | got an error while analyzing quotearg_n_options
ERROR   | 2021-11-30 15:50:50,158 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:50,160 | root     | got an error while analyzing version_etc_arn
ERROR   | 2021-11-30 15:50:52,427 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:52,427 | root     | got an error while analyzing version_etc_ar
ERROR   | 2021-11-30 15:50:52,809 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:52,809 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-11-30 16:02:34,391 | root     | b'out of memory'
ERROR   | 2021-11-30 16:02:34,394 | root     | got an error while analyzing locale_charset
ERROR   | 2021-11-30 16:02:35,505 | root     | b'out of memory'
ERROR   | 2021-11-30 16:02:35,505 | root     | got an error while analyzing clear_ungetc_buffer_preserving_position
ERROR   | 2021-11-30 16:02:36,912 | root     | b'out of memory'
ERROR   | 2021-11-30 16:02:36,912 | root     | got an error while analyzing rpl_fseeko
