ERROR   | 2021-11-30 15:39:29,892 | root     | list index out of range
ERROR   | 2021-11-30 15:39:30,001 | root     | got an error while analyzing adjust_value
ERROR   | 2021-11-30 15:59:13,278 | root     | b'out of memory'
ERROR   | 2021-11-30 15:59:13,280 | root     | got an error while analyzing humblock
ERROR   | 2021-11-30 15:59:14,064 | root     | b'out of memory'
ERROR   | 2021-11-30 15:59:14,066 | root     | got an error while analyzing human_options
ERROR   | 2021-11-30 15:59:15,136 | root     | b'out of memory'
ERROR   | 2021-11-30 15:59:15,144 | root     | got an error while analyzing clone_quoting_options
ERROR   | 2021-11-30 16:00:19,815 | root     | b'out of memory'
ERROR   | 2021-11-30 16:00:19,818 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-11-30 16:00:20,880 | root     | b'out of memory'
ERROR   | 2021-11-30 16:00:20,892 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-11-30 16:00:21,858 | root     | b'out of memory'
ERROR   | 2021-11-30 16:00:21,863 | root     | got an error while analyzing quotearg_alloc_mem
ERROR   | 2021-11-30 16:00:23,802 | root     | b'out of memory'
ERROR   | 2021-11-30 16:00:23,817 | root     | got an error while analyzing quotearg_n_options
ERROR   | 2021-11-30 16:01:12,109 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:12,120 | root     | got an error while analyzing safe_read
ERROR   | 2021-11-30 16:01:38,635 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:38,635 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-11-30 16:02:25,446 | root     | list index out of range
ERROR   | 2021-11-30 16:02:25,446 | root     | got an error while analyzing xalloc_die
ERROR   | 2021-11-30 16:09:50,424 | root     | b'out of memory'
ERROR   | 2021-11-30 16:09:50,425 | root     | got an error while analyzing xstrtoumax
ERROR   | 2021-11-30 16:09:51,202 | root     | b'out of memory'
ERROR   | 2021-11-30 16:09:51,209 | root     | got an error while analyzing clear_ungetc_buffer_preserving_position
ERROR   | 2021-11-30 16:11:24,114 | root     | b'out of memory'
ERROR   | 2021-11-30 16:11:24,122 | root     | got an error while analyzing locale_charset
