ERROR   | 2021-11-30 15:18:34,931 | root     | argument 3: <class 'RecursionError'>: maximum recursion depth exceeded while calling a Python object
ERROR   | 2021-11-30 15:18:34,931 | root     | got an error while analyzing Barcode_128_make_array
ERROR   | 2021-11-30 15:35:53,924 | root     | b'out of memory'
ERROR   | 2021-11-30 15:35:53,929 | root     | got an error while analyzing Barcode_128raw_encode
ERROR   | 2021-11-30 15:36:16,237 | root     | b'out of memory'
ERROR   | 2021-11-30 15:36:16,239 | root     | got an error while analyzing Barcode_39_verify
ERROR   | 2021-11-30 15:36:16,636 | root     | b'out of memory'
ERROR   | 2021-11-30 15:36:16,638 | root     | got an error while analyzing Barcode_39ext_verify
ERROR   | 2021-11-30 17:08:58,938 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:58,938 | root     | got an error while analyzing Barcode_93_encode
ERROR   | 2021-11-30 17:08:59,243 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:59,243 | root     | got an error while analyzing Barcode_i25_verify
ERROR   | 2021-11-30 17:08:59,501 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:59,501 | root     | got an error while analyzing Barcode_i25_encode
ERROR   | 2021-11-30 17:08:59,754 | root     | b'out of memory'
ERROR   | 2021-11-30 17:08:59,754 | root     | got an error while analyzing Barcode_msi_verify
ERROR   | 2021-11-30 17:09:00,016 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:00,017 | root     | got an error while analyzing Barcode_msi_encode
ERROR   | 2021-11-30 17:09:00,274 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:00,274 | root     | got an error while analyzing Barcode_pls_verify
ERROR   | 2021-11-30 17:09:00,534 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:00,534 | root     | got an error while analyzing Barcode_pls_encode
ERROR   | 2021-11-30 17:09:00,793 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:00,793 | root     | got an error while analyzing Barcode_cbr_verify
ERROR   | 2021-11-30 17:09:01,049 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:01,050 | root     | got an error while analyzing Barcode_cbr_encode
ERROR   | 2021-11-30 17:09:01,316 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:01,316 | root     | got an error while analyzing Barcode_ps_print
ERROR   | 2021-11-30 17:09:01,577 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:01,577 | root     | got an error while analyzing Barcode_svg_print
ERROR   | 2021-11-30 17:09:01,837 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:01,837 | root     | got an error while analyzing gotox
ERROR   | 2021-11-30 17:09:02,097 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:02,097 | root     | got an error while analyzing gotoy
ERROR   | 2021-11-30 17:09:02,359 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:02,360 | root     | got an error while analyzing Barcode_pcl_print
ERROR   | 2021-11-30 17:09:02,619 | root     | b'out of memory'
ERROR   | 2021-11-30 17:09:02,619 | root     | got an error while analyzing Barcode_11_verify
ERROR   | 2021-11-30 17:10:49,340 | root     | b'out of memory'
ERROR   | 2021-11-30 17:10:49,341 | root     | got an error while analyzing Barcode_11_encode
