ERROR   | 2021-11-30 17:39:01,913 | root     | b'out of memory'
ERROR   | 2021-11-30 17:39:01,913 | root     | got an error while analyzing mode_adjust
ERROR   | 2021-11-30 17:39:06,786 | root     | b'out of memory'
ERROR   | 2021-11-30 17:39:06,786 | root     | got an error while analyzing clone_quoting_options
ERROR   | 2021-11-30 17:42:23,422 | root     | b'out of memory'
ERROR   | 2021-11-30 17:42:23,422 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-11-30 17:42:23,923 | root     | b'out of memory'
ERROR   | 2021-11-30 17:42:23,923 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-11-30 17:42:24,773 | root     | b'out of memory'
ERROR   | 2021-11-30 17:42:24,773 | root     | got an error while analyzing quotearg_alloc_mem
ERROR   | 2021-11-30 17:43:52,706 | root     | list index out of range
ERROR   | 2021-11-30 17:43:52,706 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-11-30 17:43:54,932 | root     | b'out of memory'
ERROR   | 2021-11-30 17:43:54,932 | root     | got an error while analyzing x2nrealloc
ERROR   | 2021-11-30 17:43:59,160 | root     | b'out of memory'
ERROR   | 2021-11-30 17:43:59,160 | root     | got an error while analyzing xalloc_die
ERROR   | 2021-11-30 17:43:59,960 | root     | b'out of memory'
ERROR   | 2021-11-30 17:43:59,960 | root     | got an error while analyzing xfts_open
ERROR   | 2021-11-30 17:44:00,494 | root     | b'out of memory'
ERROR   | 2021-11-30 17:44:00,494 | root     | got an error while analyzing cycle_warning_required
ERROR   | 2021-11-30 17:49:09,152 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:09,152 | root     | got an error while analyzing xstrtoumax
ERROR   | 2021-11-30 17:49:09,617 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:09,617 | root     | got an error while analyzing AD_compare
ERROR   | 2021-11-30 17:49:10,059 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:10,059 | root     | got an error while analyzing AD_hash
ERROR   | 2021-11-30 17:49:10,501 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:10,502 | root     | got an error while analyzing setup_dir
ERROR   | 2021-11-30 17:49:10,938 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:10,938 | root     | got an error while analyzing enter_dir
ERROR   | 2021-11-30 17:49:11,377 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:11,377 | root     | got an error while analyzing leave_dir
ERROR   | 2021-11-30 17:49:11,817 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:11,818 | root     | got an error while analyzing free_dir
ERROR   | 2021-11-30 17:49:12,853 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:12,853 | root     | got an error while analyzing fts_set_stat_required
ERROR   | 2021-11-30 17:49:13,839 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:13,839 | root     | got an error while analyzing cwd_advance_fd
ERROR   | 2021-11-30 17:49:14,272 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:14,273 | root     | got an error while analyzing restore_initial_cwd
ERROR   | 2021-11-30 17:49:14,709 | root     | b'out of memory'
ERROR   | 2021-11-30 17:49:14,709 | root     | got an error while analyzing diropen
