ERROR   | 2021-11-30 15:38:18,193 | root     | b'out of memory'
ERROR   | 2021-11-30 15:38:18,197 | root     | got an error while analyzing closeout
ERROR   | 2021-11-30 15:41:04,738 | root     | b'out of memory'
ERROR   | 2021-11-30 15:41:04,749 | root     | got an error while analyzing bytes_split
ERROR   | 2021-11-30 15:41:05,739 | root     | b'out of memory'
ERROR   | 2021-11-30 15:41:05,748 | root     | got an error while analyzing lines_split
ERROR   | 2021-11-30 15:46:27,644 | root     | b'out of memory'
ERROR   | 2021-11-30 15:46:27,649 | root     | got an error while analyzing line_bytes_split
ERROR   | 2021-11-30 15:47:35,778 | root     | b'out of memory'
ERROR   | 2021-11-30 15:47:35,780 | root     | got an error while analyzing ofile_open
ERROR   | 2021-11-30 15:47:37,453 | root     | b'out of memory'
ERROR   | 2021-11-30 15:47:37,459 | root     | got an error while analyzing lines_rr
ERROR   | 2021-11-30 15:47:38,035 | root     | b'out of memory'
ERROR   | 2021-11-30 15:47:38,036 | root     | got an error while analyzing parse_chunk
ERROR   | 2021-11-30 15:50:03,626 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:03,628 | root     | got an error while analyzing mbsstr_trimmed_wordbounded
ERROR   | 2021-11-30 15:50:50,438 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:50,440 | root     | got an error while analyzing set_custom_quoting
ERROR   | 2021-11-30 15:56:23,550 | root     | b'out of memory'
ERROR   | 2021-11-30 15:56:23,558 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-11-30 15:56:24,362 | root     | b'out of memory'
ERROR   | 2021-11-30 15:56:24,369 | root     | got an error while analyzing quotearg_buffer
Killed
