ERROR   | 2021-11-30 16:01:09,997 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:10,002 | root     | got an error while analyzing buffer_linelim
ERROR   | 2021-11-30 16:01:11,580 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:11,584 | root     | got an error while analyzing begfield
ERROR   | 2021-11-30 16:01:40,041 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:40,049 | root     | got an error while analyzing limfield
ERROR   | 2021-11-30 16:02:37,391 | root     | b'out of memory'
ERROR   | 2021-11-30 16:02:37,395 | root     | got an error while analyzing find_unit_order
ERROR   | 2021-11-30 16:04:07,272 | root     | list index out of range
ERROR   | 2021-11-30 16:04:07,273 | root     | got an error while analyzing nan_compare
ERROR   | 2021-11-30 16:04:07,923 | root     | list index out of range
ERROR   | 2021-11-30 16:04:07,923 | root     | got an error while analyzing general_numcompare
ERROR   | 2021-11-30 16:04:25,700 | root     | b'out of memory'
ERROR   | 2021-11-30 16:04:25,707 | root     | got an error while analyzing xstrxfrm
ERROR   | 2021-11-30 16:05:25,257 | root     | b'out of memory'
ERROR   | 2021-11-30 16:05:25,259 | root     | got an error while analyzing default_key_compare
ERROR   | 2021-11-30 16:05:26,568 | root     | b'out of memory'
ERROR   | 2021-11-30 16:05:26,576 | root     | got an error while analyzing key_to_opts
ERROR   | 2021-11-30 16:06:41,130 | root     | b'out of memory'
ERROR   | 2021-11-30 16:06:41,131 | root     | got an error while analyzing keycompare
ERROR   | 2021-11-30 16:08:14,296 | root     | b'out of memory'
ERROR   | 2021-11-30 16:08:14,298 | root     | got an error while analyzing check
ERROR   | 2021-11-30 16:08:15,718 | root     | b'out of memory'
ERROR   | 2021-11-30 16:08:15,722 | root     | got an error while analyzing open_input_files
ERROR   | 2021-11-30 16:09:50,499 | root     | b'out of memory'
ERROR   | 2021-11-30 16:09:50,500 | root     | got an error while analyzing mergefps
ERROR   | 2021-11-30 16:10:07,012 | root     | b'out of memory'
ERROR   | 2021-11-30 16:10:07,018 | root     | got an error while analyzing mergelines
Killed
