ERROR   | 2021-11-30 15:50:01,012 | root     | b'out of memory'
ERROR   | 2021-11-30 15:50:01,017 | root     | got an error while analyzing quotearg_n_options
ERROR   | 2021-11-30 16:01:11,045 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:11,045 | root     | got an error while analyzing randint_all_free
ERROR   | 2021-11-30 16:01:18,897 | root     | b'out of memory'
ERROR   | 2021-11-30 16:01:18,900 | root     | got an error while analyzing swap
ERROR   | 2021-11-30 16:01:53,417 | root     | list index out of range
ERROR   | 2021-11-30 16:01:55,346 | root     | got an error while analyzing sparse_swap
ERROR   | 2021-11-30 16:02:36,463 | root     | b'out of memory'
ERROR   | 2021-11-30 16:02:36,471 | root     | got an error while analyzing randread_error
ERROR   | 2021-11-30 16:02:36,816 | root     | b'out of memory'
ERROR   | 2021-11-30 16:02:36,823 | root     | got an error while analyzing simple_new
ERROR   | 2021-11-30 16:03:36,755 | root     | b'out of memory'
ERROR   | 2021-11-30 16:03:36,755 | root     | got an error while analyzing isaac_refill
ERROR   | 2021-11-30 16:03:37,449 | root     | b'out of memory'
ERROR   | 2021-11-30 16:03:37,451 | root     | got an error while analyzing isaac_seed
ERROR   | 2021-11-30 16:04:24,655 | root     | b'out of memory'
ERROR   | 2021-11-30 16:04:24,661 | root     | got an error while analyzing version_etc_ar
ERROR   | 2021-11-30 16:04:25,299 | root     | b'out of memory'
ERROR   | 2021-11-30 16:04:25,309 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-11-30 16:05:23,376 | root     | b'out of memory'
ERROR   | 2021-11-30 16:05:23,387 | root     | got an error while analyzing xalloc_die
ERROR   | 2021-11-30 16:05:26,337 | root     | list index out of range
ERROR   | 2021-11-30 16:05:26,343 | root     | got an error while analyzing bkm_scale
ERROR   | 2021-11-30 16:06:41,105 | root     | b'out of memory'
ERROR   | 2021-11-30 16:06:41,106 | root     | got an error while analyzing xstrtoul
ERROR   | 2021-11-30 16:08:15,732 | root     | b'out of memory'
ERROR   | 2021-11-30 16:08:15,733 | root     | got an error while analyzing hash_get_n_buckets
ERROR   | 2021-11-30 16:09:23,723 | root     | b'out of memory'
ERROR   | 2021-11-30 16:09:23,724 | root     | got an error while analyzing hash_get_max_bucket_length
ERROR   | 2021-11-30 16:09:24,714 | root     | b'out of memory'
ERROR   | 2021-11-30 16:09:24,722 | root     | got an error while analyzing hash_table_ok
ERROR   | 2021-11-30 16:10:08,316 | root     | b'out of memory'
ERROR   | 2021-11-30 16:10:08,316 | root     | got an error while analyzing hash_get_next
ERROR   | 2021-11-30 16:11:22,795 | root     | b'out of memory'
ERROR   | 2021-11-30 16:11:22,801 | root     | got an error while analyzing hash_do_for_each
ERROR   | 2021-11-30 16:11:23,167 | root     | b'out of memory'
ERROR   | 2021-11-30 16:11:23,174 | root     | got an error while analyzing hash_string
Killed
