ERROR   | 2021-11-30 18:21:09,683 | root     | list index out of range
ERROR   | 2021-11-30 18:21:09,683 | root     | got an error while analyzing adjust_value
ERROR   | 2021-11-30 20:00:55,463 | root     | b'out of memory'
ERROR   | 2021-11-30 20:00:55,463 | root     | got an error while analyzing get_charset_aliases
ERROR   | 2021-11-30 20:00:59,325 | root     | b'out of memory'
ERROR   | 2021-11-30 20:00:59,325 | root     | got an error while analyzing locale_charset
ERROR   | 2021-11-30 20:00:59,808 | root     | b'out of memory'
ERROR   | 2021-11-30 20:00:59,808 | root     | got an error while analyzing mbiter_multi_next
ERROR   | 2021-11-30 20:01:00,306 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:00,306 | root     | got an error while analyzing mbiter_multi_reloc
ERROR   | 2021-11-30 20:01:00,815 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:00,815 | root     | got an error while analyzing mbiter_multi_copy
ERROR   | 2021-11-30 20:01:02,610 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:02,610 | root     | got an error while analyzing mbsstr
ERROR   | 2021-11-30 20:01:03,087 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:03,087 | root     | got an error while analyzing mbuiter_multi_next
ERROR   | 2021-11-30 20:01:03,567 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:03,567 | root     | got an error while analyzing mbuiter_multi_reloc
ERROR   | 2021-11-30 20:01:04,051 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:04,051 | root     | got an error while analyzing mbuiter_multi_copy
ERROR   | 2021-11-30 20:01:04,782 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:04,782 | root     | got an error while analyzing mem_cd_iconv
ERROR   | 2021-11-30 20:01:05,532 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:05,532 | root     | got an error while analyzing str_cd_iconv
ERROR   | 2021-11-30 20:01:06,041 | root     | b'out of memory'
ERROR   | 2021-11-30 20:01:06,041 | root     | got an error while analyzing str_iconv
