WARNING | 2021-11-30 16:00:34,708 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_acpi_power_state_rs
WARNING | 2021-11-30 16:00:34,709 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_ip_udp_rmcp_statistics_rs
WARNING | 2021-11-30 16:00:34,709 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rs
WARNING | 2021-11-30 16:00:34,709 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sel_time_utc_offset_rs
WARNING | 2021-11-30 16:00:34,709 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_fru_inventory_area_info_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_interface_capabilities_kcs_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_platform_event_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_auxiliary_log_status_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_acpi_power_state_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_write_fru_data_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_bmc_global_enables_rs
WARNING | 2021-11-30 16:00:34,710 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_auxiliary_log_status_mca_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_re_arm_sensor_events_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_self_test_results_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sel_time_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sel_time_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_cold_reset_rs
WARNING | 2021-11-30 16:00:34,711 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_system_info_parameters_rs
