WARNING | 2021-12-03 15:14:15,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_outstream
WARNING | 2021-12-03 15:14:15,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-03 15:14:15,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_line_buffer
WARNING | 2021-12-03 15:14:15,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-03 15:14:15,365 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_inhibit_completion
WARNING | 2021-12-03 15:14:15,366 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __gmp_version
WARNING | 2021-12-03 15:14:15,366 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-03 15:14:15,366 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_over
WARNING | 2021-12-03 15:14:15,372 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-03 15:31:00,797 | root     | list index out of range
ERROR   | 2021-12-03 15:31:00,798 | root     | got an error while analyzing do_delete_loop
ERROR   | 2021-12-03 15:51:26,021 | root     | 
ERROR   | 2021-12-03 15:51:26,828 | root     | got an error while analyzing yyparse
ERROR   | 2021-12-03 18:24:51,703 | root     | 
ERROR   | 2021-12-03 18:24:51,706 | root     | got an error while analyzing zzparse
Killed
