ERROR   | 2021-12-03 15:02:03,215 | root     | b'out of memory'
ERROR   | 2021-12-03 15:02:03,219 | root     | got an error while analyzing knuth_morris_pratt_multibyte
ERROR   | 2021-12-03 15:02:15,176 | root     | b'out of memory'
ERROR   | 2021-12-03 15:02:15,187 | root     | got an error while analyzing mbsstr
ERROR   | 2021-12-03 15:02:15,713 | root     | b'out of memory'
ERROR   | 2021-12-03 15:02:15,717 | root     | got an error while analyzing mbuiter_multi_next
ERROR   | 2021-12-03 15:02:21,125 | root     | b'out of memory'
ERROR   | 2021-12-03 15:02:21,128 | root     | got an error while analyzing mbuiter_multi_reloc
ERROR   | 2021-12-03 15:02:53,632 | root     | b'out of memory'
ERROR   | 2021-12-03 15:02:53,637 | root     | got an error while analyzing mbuiter_multi_copy
ERROR   | 2021-12-03 15:02:57,988 | root     | b'out of memory'
ERROR   | 2021-12-03 15:02:57,993 | root     | got an error while analyzing str_iconv
Killed
