ERROR   | 2021-12-03 17:55:31,062 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:31,066 | root     | got an error while analyzing getstr
ERROR   | 2021-12-03 17:55:35,281 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:35,282 | root     | got an error while analyzing find_long_option
ERROR   | 2021-12-03 17:55:35,633 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:35,636 | root     | got an error while analyzing group_parse
ERROR   | 2021-12-03 17:55:35,942 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:35,942 | root     | got an error while analyzing convert_options
ERROR   | 2021-12-03 18:04:37,769 | root     | b'out of memory'
ERROR   | 2021-12-03 18:04:38,410 | root     | got an error while analyzing parser_parse_next
ERROR   | 2021-12-03 18:08:06,883 | root     | b'out of memory'
ERROR   | 2021-12-03 18:08:06,884 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-12-03 18:09:22,316 | root     | b'out of memory'
ERROR   | 2021-12-03 18:09:22,336 | root     | got an error while analyzing x2nrealloc
Killed
