WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gdbm_syserr
WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_pre_input_hook
WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gdbm_version
WARNING | 2021-12-03 15:29:29,994 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: opterr
WARNING | 2021-12-03 15:29:29,997 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-03 15:55:29,810 | root     | b'out of memory'
ERROR   | 2021-12-03 15:55:29,811 | root     | got an error while analyzing dsprint
ERROR   | 2021-12-03 15:55:30,495 | root     | b'out of memory'
ERROR   | 2021-12-03 15:55:30,500 | root     | got an error while analyzing yystpcpy
ERROR   | 2021-12-03 15:55:31,113 | root     | b'out of memory'
ERROR   | 2021-12-03 15:55:31,118 | root     | got an error while analyzing yytnamerr
Killed
