WARNING | 2021-12-03 14:00:39,465 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_log_to_stderr
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_markup_type
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_error_count
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_invocation_name
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_print_diag_fun
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_program_name
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_parser_options
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_preprocessor
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_default_port
WARNING | 2021-12-03 14:00:39,466 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_argcv_quoting_style
WARNING | 2021-12-03 14:00:39,473 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-03 14:51:11,703 | root     | b'out of memory'
ERROR   | 2021-12-03 14:51:11,707 | root     | got an error while analyzing module_init
ERROR   | 2021-12-03 14:51:13,020 | root     | b'out of memory'
ERROR   | 2021-12-03 14:51:13,022 | root     | got an error while analyzing module_load
ERROR   | 2021-12-03 14:51:52,485 | root     | b'out of memory'
ERROR   | 2021-12-03 14:51:53,005 | root     | got an error while analyzing dicod_load_module
Killed
