ERROR   | 2021-12-03 17:33:45,168 | root     | b'out of memory'
ERROR   | 2021-12-03 17:33:45,175 | root     | got an error while analyzing ping_reset
ERROR   | 2021-12-03 17:35:56,407 | root     | b'out of memory'
ERROR   | 2021-12-03 17:35:56,411 | root     | got an error while analyzing fill_in_uparams
ERROR   | 2021-12-03 17:35:57,103 | root     | b'out of memory'
ERROR   | 2021-12-03 17:35:57,119 | root     | got an error while analyzing find_char
ERROR   | 2021-12-03 17:35:57,544 | root     | b'out of memory'
ERROR   | 2021-12-03 17:35:57,548 | root     | got an error while analyzing make_hol
ERROR   | 2021-12-03 17:39:48,697 | root     | b'out of memory'
ERROR   | 2021-12-03 17:39:48,702 | root     | got an error while analyzing hol_entry_first_long
ERROR   | 2021-12-03 17:39:49,094 | root     | b'out of memory'
ERROR   | 2021-12-03 17:39:49,095 | root     | got an error while analyzing hol_find_entry
ERROR   | 2021-12-03 17:41:01,620 | root     | b'out of memory'
ERROR   | 2021-12-03 17:41:01,623 | root     | got an error while analyzing hol_cluster_cmp
ERROR   | 2021-12-03 17:41:01,990 | root     | b'out of memory'
ERROR   | 2021-12-03 17:41:01,991 | root     | got an error while analyzing hol_cluster_base
ERROR   | 2021-12-03 17:41:02,772 | root     | b'out of memory'
ERROR   | 2021-12-03 17:41:02,775 | root     | got an error while analyzing canon_doc_option
ERROR   | 2021-12-03 17:41:03,143 | root     | b'out of memory'
ERROR   | 2021-12-03 17:41:03,146 | root     | got an error while analyzing hol_entry_cmp
ERROR   | 2021-12-03 17:43:53,893 | root     | b'out of memory'
ERROR   | 2021-12-03 17:43:53,900 | root     | got an error while analyzing hol_append
ERROR   | 2021-12-03 17:44:20,172 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:20,176 | root     | got an error while analyzing space
ERROR   | 2021-12-03 17:44:20,720 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:20,723 | root     | got an error while analyzing arg
ERROR   | 2021-12-03 17:44:21,372 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:21,376 | root     | got an error while analyzing filter_doc
ERROR   | 2021-12-03 17:44:21,943 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:21,953 | root     | got an error while analyzing print_header
ERROR   | 2021-12-03 17:44:30,297 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:30,299 | root     | got an error while analyzing comma
ERROR   | 2021-12-03 17:44:30,745 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:30,749 | root     | got an error while analyzing hol_entry_help
ERROR   | 2021-12-03 17:44:31,174 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:31,178 | root     | got an error while analyzing hol_help
ERROR   | 2021-12-03 17:44:39,085 | root     | b'out of memory'
ERROR   | 2021-12-03 17:44:41,244 | root     | got an error while analyzing add_argless_short_opt
ERROR   | 2021-12-03 17:46:18,044 | root     | b'out of memory'
ERROR   | 2021-12-03 17:46:18,046 | root     | got an error while analyzing argp_hol
ERROR   | 2021-12-03 17:46:27,420 | root     | b'out of memory'
ERROR   | 2021-12-03 17:46:27,426 | root     | got an error while analyzing argp_args_levels
ERROR   | 2021-12-03 17:46:48,852 | root     | b'out of memory'
ERROR   | 2021-12-03 17:46:48,858 | root     | got an error while analyzing argp_args_usage
ERROR   | 2021-12-03 17:46:49,390 | root     | b'out of memory'
ERROR   | 2021-12-03 17:46:49,397 | root     | got an error while analyzing argp_doc
ERROR   | 2021-12-03 17:55:31,692 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:31,698 | root     | got an error while analyzing convert_options
ERROR   | 2021-12-03 17:55:34,814 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:34,818 | root     | got an error while analyzing parser_convert
ERROR   | 2021-12-03 17:55:35,278 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:35,281 | root     | got an error while analyzing calc_sizes
ERROR   | 2021-12-03 17:55:36,464 | root     | b'out of memory'
ERROR   | 2021-12-03 17:55:36,465 | root     | got an error while analyzing parser_parse_arg
ERROR   | 2021-12-03 17:56:14,782 | root     | b'out of memory'
ERROR   | 2021-12-03 17:56:14,803 | root     | got an error while analyzing parser_parse_next
Killed
