ERROR   | 2021-12-04 01:01:13,013 | root     | b'out of memory'
ERROR   | 2021-12-04 01:01:13,018 | root     | got an error while analyzing get_token
ERROR   | 2021-12-04 01:05:27,321 | root     | b'out of memory'
ERROR   | 2021-12-04 01:05:27,325 | root     | got an error while analyzing time_width
ERROR   | 2021-12-04 01:06:07,700 | root     | b'out of memory'
ERROR   | 2021-12-04 01:06:07,785 | root     | got an error while analyzing parse_form
ERROR   | 2021-12-04 01:07:13,079 | root     | b'out of memory'
ERROR   | 2021-12-04 01:07:13,626 | root     | got an error while analyzing rushdb_compile_format
ERROR   | 2021-12-04 01:07:59,185 | root     | b'out of memory'
ERROR   | 2021-12-04 01:07:59,190 | root     | got an error while analyzing rushdb_print
ERROR   | 2021-12-04 01:08:05,229 | root     | b'out of memory'
ERROR   | 2021-12-04 01:08:05,232 | root     | got an error while analyzing rushdb_print_header
ERROR   | 2021-12-04 01:08:09,593 | root     | b'out of memory'
ERROR   | 2021-12-04 01:08:09,598 | root     | got an error while analyzing new_line_seg
ERROR   | 2021-12-04 01:09:07,596 | root     | b'out of memory'
ERROR   | 2021-12-04 01:09:07,727 | root     | got an error while analyzing slist_append
ERROR   | 2021-12-04 01:14:12,967 | root     | b'out of memory'
ERROR   | 2021-12-04 01:14:12,969 | root     | got an error while analyzing wordsplit_init
ERROR   | 2021-12-04 01:14:14,529 | root     | b'out of memory'
ERROR   | 2021-12-04 01:14:14,529 | root     | got an error while analyzing alloc_space
ERROR   | 2021-12-04 01:16:32,827 | root     | b'out of memory'
ERROR   | 2021-12-04 01:16:32,831 | root     | got an error while analyzing wsnode_ptr
ERROR   | 2021-12-04 01:17:11,621 | root     | b'out of memory'
ERROR   | 2021-12-04 01:17:11,909 | root     | got an error while analyzing wsnode_len
ERROR   | 2021-12-04 01:19:06,516 | root     | b'out of memory'
ERROR   | 2021-12-04 01:19:07,856 | root     | got an error while analyzing wsnode_free
ERROR   | 2021-12-04 01:25:24,610 | root     | b'out of memory'
ERROR   | 2021-12-04 01:25:24,612 | root     | got an error while analyzing wsnode_coalesce
ERROR   | 2021-12-04 01:25:25,890 | root     | b'out of memory'
ERROR   | 2021-12-04 01:25:25,890 | root     | got an error while analyzing wordsplit_finish
Killed
