ERROR   | 2021-12-03 17:02:56,582 | root     | b'out of memory'
ERROR   | 2021-12-03 17:02:56,588 | root     | got an error while analyzing parse_non_iso8601
ERROR   | 2021-12-03 17:15:55,316 | root     | b'out of memory'
ERROR   | 2021-12-03 17:15:55,321 | root     | got an error while analyzing canonicalize_pathname
ERROR   | 2021-12-03 17:15:55,860 | root     | b'out of memory'
ERROR   | 2021-12-03 17:15:55,882 | root     | got an error while analyzing extract_colon_unit
ERROR   | 2021-12-03 17:17:33,620 | root     | b'out of memory'
ERROR   | 2021-12-03 17:17:33,625 | root     | got an error while analyzing handle_opt
ERROR   | 2021-12-03 17:19:53,987 | root     | b'out of memory'
ERROR   | 2021-12-03 17:19:53,990 | root     | got an error while analyzing optionProcess
ERROR   | 2021-12-03 17:19:54,636 | root     | b'out of memory'
ERROR   | 2021-12-03 17:19:54,639 | root     | got an error while analyzing too_many_occurrences
Killed
