WARNING | 2021-12-03 16:28:07,379 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_prime
WARNING | 2021-12-03 16:28:07,379 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_free
WARNING | 2021-12-03 16:28:07,379 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_generator
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_generator
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_generator
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_generator
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_prime
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_generator
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_prime
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_prime
WARNING | 2021-12-03 16:28:07,380 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_prime
WARNING | 2021-12-03 16:28:07,383 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-03 16:54:32,680 | root     | b'out of memory'
ERROR   | 2021-12-03 16:54:32,684 | root     | got an error while analyzing parse_YMWD
ERROR   | 2021-12-03 16:54:38,172 | root     | b'out of memory'
ERROR   | 2021-12-03 16:54:38,174 | root     | got an error while analyzing parse_hour_minute_second
ERROR   | 2021-12-03 16:55:44,586 | root     | b'out of memory'
ERROR   | 2021-12-03 16:55:44,592 | root     | got an error while analyzing parse_HMS
ERROR   | 2021-12-03 16:56:23,412 | root     | b'out of memory'
ERROR   | 2021-12-03 16:56:24,433 | root     | got an error while analyzing trim
ERROR   | 2021-12-03 17:00:04,659 | root     | b'out of memory'
ERROR   | 2021-12-03 17:00:05,405 | root     | got an error while analyzing parse_period
ERROR   | 2021-12-03 17:02:45,683 | root     | b'out of memory'
ERROR   | 2021-12-03 17:02:45,686 | root     | got an error while analyzing parse_non_iso8601
ERROR   | 2021-12-03 17:02:50,935 | root     | b'out of memory'
ERROR   | 2021-12-03 17:02:50,939 | root     | got an error while analyzing option_parse_duration
ERROR   | 2021-12-03 17:02:52,763 | root     | b'out of memory'
ERROR   | 2021-12-03 17:02:52,769 | root     | got an error while analyzing option_value_type_hash
ERROR   | 2021-12-03 17:02:56,493 | root     | b'out of memory'
ERROR   | 2021-12-03 17:02:56,499 | root     | got an error while analyzing find_option_value_type_cmd
ERROR   | 2021-12-03 17:02:57,145 | root     | b'out of memory'
ERROR   | 2021-12-03 17:02:57,153 | root     | got an error while analyzing option_xat_attribute_hash
ERROR   | 2021-12-03 17:14:00,776 | root     | b'out of memory'
ERROR   | 2021-12-03 17:14:00,781 | root     | got an error while analyzing canonicalize_pathname
ERROR   | 2021-12-03 17:14:01,570 | root     | b'out of memory'
ERROR   | 2021-12-03 17:14:01,574 | root     | got an error while analyzing extract_colon_unit
ERROR   | 2021-12-03 17:15:55,077 | root     | b'out of memory'
ERROR   | 2021-12-03 17:15:55,081 | root     | got an error while analyzing handle_opt
ERROR   | 2021-12-03 17:17:34,457 | root     | b'out of memory'
ERROR   | 2021-12-03 17:17:34,463 | root     | got an error while analyzing regular_opts
Killed
