WARNING | 2021-12-03 20:34:56,693 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-03 20:34:56,693 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-03 20:34:56,693 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-03 20:34:56,694 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-03 20:34:56,695 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-03 20:34:56,695 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-03 20:34:56,695 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-03 20:34:56,695 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-03 20:34:56,695 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-03 20:34:56,702 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-03 21:57:59,292 | root     | b'out of memory'
ERROR   | 2021-12-03 21:57:59,295 | root     | got an error while analyzing mh_getopt_ext
ERROR   | 2021-12-03 21:58:11,538 | root     | b'out of memory'
ERROR   | 2021-12-03 21:58:11,541 | root     | got an error while analyzing mh_opt_notimpl
ERROR   | 2021-12-03 21:58:12,409 | root     | b'out of memory'
ERROR   | 2021-12-03 21:58:12,415 | root     | got an error while analyzing mh_opt_notimpl_warning
ERROR   | 2021-12-03 21:59:48,490 | root     | b'out of memory'
ERROR   | 2021-12-03 21:59:48,499 | root     | got an error while analyzing part_match
ERROR   | 2021-12-03 22:00:02,622 | root     | b'out of memory'
ERROR   | 2021-12-03 22:00:02,625 | root     | got an error while analyzing match_char_class
ERROR   | 2021-12-03 22:05:29,034 | root     | b'out of memory'
ERROR   | 2021-12-03 22:05:29,039 | root     | got an error while analyzing mh_find_file
ERROR   | 2021-12-03 22:22:59,945 | root     | b'out of memory'
ERROR   | 2021-12-03 22:22:59,946 | root     | got an error while analyzing looking_at_compdecl
ERROR   | 2021-12-03 22:24:49,417 | root     | b'out of memory'
ERROR   | 2021-12-03 22:24:49,434 | root     | got an error while analyzing parse_cleartext
ERROR   | 2021-12-03 22:26:19,701 | root     | b'out of memory'
ERROR   | 2021-12-03 22:26:19,710 | root     | got an error while analyzing parse_component
Killed
