WARNING | 2021-12-02 19:30:01,156 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 19:30:01,157 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 19:30:01,158 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 19:30:01,159 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 19:30:01,166 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 19:55:44,166 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:44,170 | root     | got an error while analyzing format_num
ERROR   | 2021-12-02 19:55:45,061 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:45,061 | root     | got an error while analyzing format_str
ERROR   | 2021-12-02 19:55:47,640 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:47,641 | root     | got an error while analyzing addrlist_destroy
ERROR   | 2021-12-02 19:55:48,232 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:48,232 | root     | got an error while analyzing mh_fvm_run
ERROR   | 2021-12-02 20:02:15,828 | root     | b'out of memory'
ERROR   | 2021-12-02 20:02:15,828 | root     | got an error while analyzing extract_labels
ERROR   | 2021-12-02 20:02:33,443 | root     | b'out of memory'
ERROR   | 2021-12-02 20:02:33,458 | root     | got an error while analyzing mh_format_dump_disass
Killed
