ERROR   | 2021-12-02 12:00:36,053 | root     | 
ERROR   | 2021-12-02 12:00:36,099 | root     | got an error while analyzing Barcode_128b_encode
ERROR   | 2021-12-02 12:35:15,872 | root     | b'out of memory'
ERROR   | 2021-12-02 12:35:15,878 | root     | got an error while analyzing Barcode_39_verify
ERROR   | 2021-12-02 12:35:16,586 | root     | b'out of memory'
ERROR   | 2021-12-02 12:35:16,589 | root     | got an error while analyzing Barcode_39ext_verify
ERROR   | 2021-12-02 12:35:17,094 | root     | b'out of memory'
ERROR   | 2021-12-02 12:35:17,097 | root     | got an error while analyzing add_one
ERROR   | 2021-12-02 12:35:17,332 | root     | b'out of memory'
ERROR   | 2021-12-02 12:35:17,332 | root     | got an error while analyzing Barcode_39_encode
ERROR   | 2021-12-02 12:35:17,575 | root     | b'out of memory'
ERROR   | 2021-12-02 12:35:17,579 | root     | got an error while analyzing Barcode_39ext_encode
ERROR   | 2021-12-02 12:35:17,810 | root     | b'out of memory'
ERROR   | 2021-12-02 12:35:17,810 | root     | got an error while analyzing Barcode_93_verify
Killed
