ERROR   | 2021-12-02 11:41:04,473 | root     | list index out of range
ERROR   | 2021-12-02 11:41:04,473 | root     | got an error while analyzing quitnow
ERROR   | 2021-12-02 11:41:05,634 | root     | list index out of range
ERROR   | 2021-12-02 11:41:05,634 | root     | got an error while analyzing sysfail
ERROR   | 2021-12-02 11:41:07,412 | root     | list index out of range
ERROR   | 2021-12-02 11:41:07,412 | root     | got an error while analyzing usageerr
ERROR   | 2021-12-02 13:43:52,912 | root     | b'out of memory'
ERROR   | 2021-12-02 13:43:52,918 | root     | got an error while analyzing adns__procdgram
ERROR   | 2021-12-02 13:43:57,914 | root     | b'out of memory'
ERROR   | 2021-12-02 13:43:57,917 | root     | got an error while analyzing adns__vlprintf
Killed
