WARNING | 2021-12-02 14:30:41,727 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_log_to_stderr
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_markup_type
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_error_count
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_invocation_name
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_print_diag_fun
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_program_name
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_parser_options
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_preprocessor
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grecs_default_port
WARNING | 2021-12-02 14:30:41,728 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_argcv_quoting_style
WARNING | 2021-12-02 14:30:41,734 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 15:38:42,270 | root     | list index out of range
ERROR   | 2021-12-02 15:38:42,270 | root     | got an error while analyzing dicod_server
ERROR   | 2021-12-02 16:29:38,048 | root     | 
ERROR   | 2021-12-02 16:29:38,049 | root     | got an error while analyzing gl_des_ecb_crypt
Killed
