WARNING | 2021-12-02 19:27:08,432 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 19:27:08,432 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 19:27:08,432 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 19:27:08,432 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 19:27:08,432 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 19:27:08,433 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 19:27:08,434 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 19:27:08,434 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 19:27:08,434 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 19:27:08,434 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 19:27:08,440 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 19:43:38,331 | root     | b'out of memory'
ERROR   | 2021-12-02 19:43:40,091 | root     | got an error while analyzing mh_getopt_ext
ERROR   | 2021-12-02 19:48:28,796 | root     | b'out of memory'
ERROR   | 2021-12-02 19:48:28,798 | root     | got an error while analyzing mh_string_copy
ERROR   | 2021-12-02 19:48:29,670 | root     | b'out of memory'
ERROR   | 2021-12-02 19:48:29,674 | root     | got an error while analyzing output_width
ERROR   | 2021-12-02 19:55:45,080 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:45,080 | root     | got an error while analyzing format_str
ERROR   | 2021-12-02 19:55:47,677 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:47,677 | root     | got an error while analyzing addrlist_destroy
ERROR   | 2021-12-02 19:55:48,252 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:48,252 | root     | got an error while analyzing mh_fvm_run
Killed
