ERROR   | 2021-12-02 18:20:30,141 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:30,143 | root     | got an error while analyzing printline
ERROR   | 2021-12-02 18:20:30,745 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:30,745 | root     | got an error while analyzing printsys
ERROR   | 2021-12-02 18:23:21,848 | root     | b'out of memory'
ERROR   | 2021-12-02 18:23:21,894 | root     | got an error while analyzing wallmsg
ERROR   | 2021-12-02 18:25:16,122 | root     | b'out of memory'
ERROR   | 2021-12-02 18:25:16,127 | root     | got an error while analyzing doexit
ERROR   | 2021-12-02 18:25:17,259 | root     | b'out of memory'
ERROR   | 2021-12-02 18:25:17,262 | root     | got an error while analyzing die
ERROR   | 2021-12-02 18:25:22,289 | root     | b'out of memory'
ERROR   | 2021-12-02 18:25:22,300 | root     | got an error while analyzing load_conffile
ERROR   | 2021-12-02 18:27:52,136 | root     | b'out of memory'
ERROR   | 2021-12-02 18:27:52,137 | root     | got an error while analyzing localhost
ERROR   | 2021-12-02 18:27:55,460 | root     | b'out of memory'
ERROR   | 2021-12-02 18:27:55,464 | root     | got an error while analyzing validate_uparams
ERROR   | 2021-12-02 18:30:15,237 | root     | b'out of memory'
ERROR   | 2021-12-02 18:30:15,241 | root     | got an error while analyzing fill_in_uparams
Killed
