ERROR   | 2021-12-02 12:31:50,040 | root     | b'out of memory'
ERROR   | 2021-12-02 12:31:50,049 | root     | got an error while analyzing sparse_copy
ERROR   | 2021-12-02 12:32:43,303 | root     | b'out of memory'
ERROR   | 2021-12-02 12:32:43,306 | root     | got an error while analyzing extent_copy
ERROR   | 2021-12-02 12:33:40,162 | root     | b'out of memory'
ERROR   | 2021-12-02 12:33:40,174 | root     | got an error while analyzing copy_dir
ERROR   | 2021-12-02 12:34:21,502 | root     | b'out of memory'
ERROR   | 2021-12-02 12:34:21,505 | root     | got an error while analyzing set_owner
ERROR   | 2021-12-02 12:38:04,233 | root     | b'out of memory'
ERROR   | 2021-12-02 12:38:04,238 | root     | got an error while analyzing copy_reg
ERROR   | 2021-12-02 12:38:16,844 | root     | b'out of memory'
ERROR   | 2021-12-02 12:38:16,877 | root     | got an error while analyzing same_file_ok
ERROR   | 2021-12-02 12:39:06,048 | root     | b'out of memory'
ERROR   | 2021-12-02 12:39:06,054 | root     | got an error while analyzing create_hard_link
ERROR   | 2021-12-02 12:39:36,725 | root     | b'out of memory'
ERROR   | 2021-12-02 12:39:36,732 | root     | got an error while analyzing copy_internal
Killed
