WARNING | 2021-12-02 19:14:02,168 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 19:14:02,168 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 19:14:02,168 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 19:14:02,168 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 19:14:02,168 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_msgset_formats
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 19:14:02,169 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 19:14:02,170 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 19:14:02,170 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 19:14:02,170 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 19:14:02,170 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 19:14:02,170 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 19:14:02,177 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 19:37:09,628 | root     | 
ERROR   | 2021-12-02 19:37:09,632 | root     | got an error while analyzing pick_yyparse
ERROR   | 2021-12-02 19:55:45,484 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:45,484 | root     | got an error while analyzing opt_init
ERROR   | 2021-12-02 19:55:46,200 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:46,200 | root     | got an error while analyzing mh_getopt_ext
ERROR   | 2021-12-02 19:55:47,484 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:47,485 | root     | got an error while analyzing mh_opt_notimpl
ERROR   | 2021-12-02 19:55:48,125 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:48,125 | root     | got an error while analyzing mh_opt_notimpl_warning
ERROR   | 2021-12-02 19:55:48,778 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:48,811 | root     | got an error while analyzing mh_opt_clear_string
ERROR   | 2021-12-02 19:55:49,435 | root     | b'out of memory'
ERROR   | 2021-12-02 19:55:49,436 | root     | got an error while analyzing mh_opt_find_file
ERROR   | 2021-12-02 20:00:03,545 | root     | b'out of memory'
ERROR   | 2021-12-02 20:00:03,549 | root     | got an error while analyzing part_match
ERROR   | 2021-12-02 20:02:14,979 | root     | b'out of memory'
ERROR   | 2021-12-02 20:02:14,988 | root     | got an error while analyzing match_char_class
ERROR   | 2021-12-02 20:03:03,072 | root     | b'out of memory'
ERROR   | 2021-12-02 20:03:03,080 | root     | got an error while analyzing mh_check_folder
ERROR   | 2021-12-02 20:04:46,669 | root     | b'out of memory'
ERROR   | 2021-12-02 20:04:46,674 | root     | got an error while analyzing mh_get_dir
Killed
