WARNING | 2021-12-02 18:53:57,043 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_getc_function
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_msgset_formats
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_pre_input_hook
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 18:53:57,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: _mu_imap_status_name_table
WARNING | 2021-12-02 18:53:57,048 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 19:08:23,132 | root     | b'out of memory'
ERROR   | 2021-12-02 19:08:23,136 | root     | got an error while analyzing mutool_shell
ERROR   | 2021-12-02 19:08:23,851 | root     | b'out of memory'
ERROR   | 2021-12-02 19:08:23,854 | root     | got an error while analyzing string_to_xlev
ERROR   | 2021-12-02 19:08:24,471 | root     | b'out of memory'
ERROR   | 2021-12-02 19:08:24,473 | root     | got an error while analyzing change_verbose_mask
ERROR   | 2021-12-02 19:08:24,926 | root     | b'out of memory'
ERROR   | 2021-12-02 19:08:24,927 | root     | got an error while analyzing shell_verbose
