WARNING | 2021-12-02 17:03:51,897 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_prime
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_free
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_generator
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_generator
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_generator
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_generator
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_prime
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_generator
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_prime
WARNING | 2021-12-02 17:03:51,898 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_prime
WARNING | 2021-12-02 17:03:51,899 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_prime
WARNING | 2021-12-02 17:03:51,902 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 17:19:18,506 | root     | b'out of memory'
ERROR   | 2021-12-02 17:19:18,509 | root     | got an error while analyzing parse_YMWD
ERROR   | 2021-12-02 17:21:26,535 | root     | b'out of memory'
ERROR   | 2021-12-02 17:21:26,539 | root     | got an error while analyzing parse_HMS
ERROR   | 2021-12-02 17:21:28,598 | root     | b'out of memory'
ERROR   | 2021-12-02 17:21:28,601 | root     | got an error while analyzing trim
ERROR   | 2021-12-02 17:21:29,266 | root     | b'out of memory'
ERROR   | 2021-12-02 17:21:29,268 | root     | got an error while analyzing parse_period
ERROR   | 2021-12-02 17:21:43,491 | root     | b'out of memory'
ERROR   | 2021-12-02 17:21:43,498 | root     | got an error while analyzing parse_non_iso8601
ERROR   | 2021-12-02 17:26:28,346 | root     | b'out of memory'
ERROR   | 2021-12-02 17:26:28,353 | root     | got an error while analyzing find_option_xat_attribute_cmd
Killed
