WARNING | 2021-12-02 15:04:16,972 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_watchdog_timer_rs
WARNING | 2021-12-02 15:04:16,972 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_watchdog_timer_rq
WARNING | 2021-12-02 15:04:16,972 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-02 15:04:16,972 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rs
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rq
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_suspend_bmc_arps_rs
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_suspend_bmc_arps_rq
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_reset_watchdog_timer_rq
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_reset_watchdog_timer_rs
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_watchdog_timer_rq
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_watchdog_timer_rs
WARNING | 2021-12-02 15:04:16,973 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rq
WARNING | 2021-12-02 15:04:16,976 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
