WARNING | 2021-12-02 17:05:49,630 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_prime
WARNING | 2021-12-02 17:05:49,630 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_free
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_generator
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_generator
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_generator
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_generator
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_prime
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_generator
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_prime
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_prime
WARNING | 2021-12-02 17:05:49,631 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_prime
WARNING | 2021-12-02 17:05:49,636 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 17:48:43,986 | root     | 
ERROR   | 2021-12-02 17:48:43,987 | root     | got an error while analyzing yyparse
Killed
