ERROR   | 2021-12-02 21:20:41,219 | root     | b'out of memory'
ERROR   | 2021-12-02 21:20:41,219 | root     | got an error while analyzing check_selection
ERROR   | 2021-12-02 21:20:42,138 | root     | b'out of memory'
ERROR   | 2021-12-02 21:20:42,142 | root     | got an error while analyzing expand_string
ERROR   | 2021-12-02 21:20:43,557 | root     | b'out of memory'
ERROR   | 2021-12-02 21:20:43,561 | root     | got an error while analyzing expand_character
ERROR   | 2021-12-02 21:20:44,393 | root     | b'out of memory'
ERROR   | 2021-12-02 21:20:44,401 | root     | got an error while analyzing add_string
ERROR   | 2021-12-02 21:20:44,851 | root     | b'out of memory'
ERROR   | 2021-12-02 21:20:44,854 | root     | got an error while analyzing add_character
ERROR   | 2021-12-02 21:20:53,909 | root     | b'out of memory'
ERROR   | 2021-12-02 21:20:55,052 | root     | got an error while analyzing get_c_char
ERROR   | 2021-12-02 21:21:36,044 | root     | b'out of memory'
ERROR   | 2021-12-02 21:21:36,048 | root     | got an error while analyzing get_pc_char
ERROR   | 2021-12-02 21:29:54,081 | root     | b'out of memory'
ERROR   | 2021-12-02 21:29:54,083 | root     | got an error while analyzing openpipe
ERROR   | 2021-12-02 21:39:44,317 | root     | b'out of memory'
ERROR   | 2021-12-02 21:39:44,323 | root     | got an error while analyzing handle_options
Killed
