WARNING | 2021-12-02 14:28:19,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_completion_append_character
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_special_prefixes
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_line_buffer
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_pre_input_hook
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_program_name
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-02 14:28:19,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_over
WARNING | 2021-12-02 14:28:19,431 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 15:18:36,721 | root     | b'out of memory'
ERROR   | 2021-12-02 15:18:36,950 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-02 15:19:03,629 | root     | b'out of memory'
ERROR   | 2021-12-02 15:19:03,633 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-02 15:19:10,222 | root     | b'out of memory'
ERROR   | 2021-12-02 15:19:13,163 | root     | got an error while analyzing quotearg_alloc_mem
ERROR   | 2021-12-02 15:21:51,363 | root     | b'out of memory'
ERROR   | 2021-12-02 15:21:51,369 | root     | got an error while analyzing get_charset_aliases
ERROR   | 2021-12-02 15:21:51,985 | root     | b'out of memory'
ERROR   | 2021-12-02 15:21:51,995 | root     | got an error while analyzing locale_charset
