ERROR   | 2021-12-02 14:23:13,045 | root     | list index out of range
ERROR   | 2021-12-02 14:23:13,046 | root     | got an error while analyzing adjust_value
ERROR   | 2021-12-02 14:37:22,595 | root     | b'out of memory'
ERROR   | 2021-12-02 14:37:22,596 | root     | got an error while analyzing humblock
ERROR   | 2021-12-02 14:39:01,397 | root     | b'out of memory'
ERROR   | 2021-12-02 14:39:01,724 | root     | got an error while analyzing human_options
ERROR   | 2021-12-02 14:43:11,391 | root     | b'out of memory'
ERROR   | 2021-12-02 14:43:11,391 | root     | got an error while analyzing mbsalign
ERROR   | 2021-12-02 14:43:13,006 | root     | b'out of memory'
ERROR   | 2021-12-02 14:43:13,010 | root     | got an error while analyzing ambsalign
ERROR   | 2021-12-02 14:58:00,783 | root     | b'out of memory'
ERROR   | 2021-12-02 14:58:00,786 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-02 14:58:01,479 | root     | b'out of memory'
ERROR   | 2021-12-02 14:58:01,486 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-02 15:09:25,135 | root     | b'out of memory'
ERROR   | 2021-12-02 15:09:25,136 | root     | got an error while analyzing trim2
ERROR   | 2021-12-02 15:10:20,950 | root     | b'out of memory'
ERROR   | 2021-12-02 15:10:20,957 | root     | got an error while analyzing version_etc_ar
Killed
