WARNING | 2021-12-02 15:07:51,770 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_system_boot_options_rs
WARNING | 2021-12-02 15:07:51,770 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_chassis_status_rs
WARNING | 2021-12-02 15:07:51,770 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_restart_cause_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_boot_options_boot_flags_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_chassis_identify_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_power_cycle_interval_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_chassis_control_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_power_on_hours_counter_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_chassis_capabilities_rs
WARNING | 2021-12-02 15:07:51,771 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_power_restore_policy_rs
WARNING | 2021-12-02 15:07:51,774 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
