WARNING | 2021-12-01 21:53:19,443 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_completion_append_character
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_special_prefixes
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_line_buffer
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_pre_input_hook
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: dico_program_name
WARNING | 2021-12-01 21:53:19,444 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-01 21:53:19,445 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_over
WARNING | 2021-12-01 21:53:19,452 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-01 22:28:35,480 | root     | b'out of memory'
ERROR   | 2021-12-01 22:28:35,485 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-01 22:43:02,186 | root     | b'out of memory'
ERROR   | 2021-12-01 22:43:02,188 | root     | got an error while analyzing locale_charset
