ERROR   | 2021-12-02 02:57:52,777 | root     | b'out of memory'
ERROR   | 2021-12-02 02:57:52,777 | root     | got an error while analyzing icuput
ERROR   | 2021-12-02 02:58:26,085 | root     | b'out of memory'
ERROR   | 2021-12-02 02:58:26,085 | root     | got an error while analyzing icutake
ERROR   | 2021-12-02 02:58:27,586 | root     | b'out of memory'
ERROR   | 2021-12-02 02:58:27,586 | root     | got an error while analyzing fcusend_buf
ERROR   | 2021-12-02 02:58:32,313 | root     | b'out of memory'
ERROR   | 2021-12-02 02:58:32,314 | root     | got an error while analyzing freceive_data
ERROR   | 2021-12-02 02:58:37,065 | root     | b'out of memory'
ERROR   | 2021-12-02 02:58:37,065 | root     | got an error while analyzing fmail_transfer
ERROR   | 2021-12-02 03:11:30,148 | root     | 
ERROR   | 2021-12-02 03:11:30,148 | root     | got an error while analyzing ustats
ERROR   | 2021-12-02 03:11:36,324 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:36,324 | root     | got an error while analyzing fchat
ERROR   | 2021-12-02 03:11:37,578 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:37,578 | root     | got an error while analyzing icexpect
ERROR   | 2021-12-02 03:11:51,707 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:51,707 | root     | got an error while analyzing fctranslate
ERROR   | 2021-12-02 03:11:56,189 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:56,189 | root     | got an error while analyzing fcprogram
ERROR   | 2021-12-02 03:11:57,411 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:57,412 | root     | got an error while analyzing fconn_init
ERROR   | 2021-12-02 03:11:58,630 | root     | b'out of memory'
ERROR   | 2021-12-02 03:11:58,630 | root     | got an error while analyzing uconn_free
ERROR   | 2021-12-02 03:12:03,862 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:03,862 | root     | got an error while analyzing fconn_unlock
ERROR   | 2021-12-02 03:12:04,860 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:04,860 | root     | got an error while analyzing fconn_open
ERROR   | 2021-12-02 03:12:05,736 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:05,736 | root     | got an error while analyzing fconn_close
ERROR   | 2021-12-02 03:12:07,033 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:07,033 | root     | got an error while analyzing fconn_dial
ERROR   | 2021-12-02 03:12:07,905 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:07,905 | root     | got an error while analyzing fconn_read
ERROR   | 2021-12-02 03:12:08,782 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:08,782 | root     | got an error while analyzing fconn_write
ERROR   | 2021-12-02 03:12:09,651 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:09,651 | root     | got an error while analyzing fconn_io
ERROR   | 2021-12-02 03:12:10,517 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:10,517 | root     | got an error while analyzing fconn_break
ERROR   | 2021-12-02 03:12:11,381 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:11,381 | root     | got an error while analyzing fconn_set
ERROR   | 2021-12-02 03:12:12,250 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:12,250 | root     | got an error while analyzing fconn_carrier
ERROR   | 2021-12-02 03:12:13,790 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:13,790 | root     | got an error while analyzing fconn_run_chat
ERROR   | 2021-12-02 03:12:14,690 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:14,690 | root     | got an error while analyzing iconn_baud
ERROR   | 2021-12-02 03:12:15,565 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:15,565 | root     | got an error while analyzing fconn_dial_sequence
ERROR   | 2021-12-02 03:12:16,459 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:16,459 | root     | got an error while analyzing fmodem_dial
ERROR   | 2021-12-02 03:12:17,544 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:17,544 | root     | got an error while analyzing fcopy_file
ERROR   | 2021-12-02 03:12:20,611 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:20,611 | root     | got an error while analyzing fcopy_open_file
ERROR   | 2021-12-02 03:12:23,165 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:23,166 | root     | got an error while analyzing zsport_line
ERROR   | 2021-12-02 03:12:24,934 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:24,934 | root     | got an error while analyzing fsysdep_port_access
ERROR   | 2021-12-02 03:12:27,413 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:27,413 | root     | got an error while analyzing fsysdep_port_is_line
ERROR   | 2021-12-02 03:12:29,285 | root     | b'out of memory'
ERROR   | 2021-12-02 03:12:29,285 | root     | got an error while analyzing fsysdep_cu_init
ERROR   | 2021-12-02 03:13:19,354 | root     | b'out of memory'
ERROR   | 2021-12-02 03:13:19,354 | root     | got an error while analyzing cscu_escape
ERROR   | 2021-12-02 03:13:27,415 | root     | b'out of memory'
ERROR   | 2021-12-02 03:13:27,416 | root     | got an error while analyzing fsysdep_cu_finish
ERROR   | 2021-12-02 03:13:29,546 | root     | b'out of memory'
ERROR   | 2021-12-02 03:13:29,547 | root     | got an error while analyzing uscu_child
ERROR   | 2021-12-02 03:13:33,517 | root     | b'out of memory'
ERROR   | 2021-12-02 03:13:33,518 | root     | got an error while analyzing fsysdep_terminal_raw
ERROR   | 2021-12-02 03:13:36,258 | root     | b'out of memory'
ERROR   | 2021-12-02 03:13:36,258 | root     | got an error while analyzing zsysdep_terminal_line
ERROR   | 2021-12-02 03:14:00,013 | root     | b'out of memory'
ERROR   | 2021-12-02 03:14:00,014 | root     | got an error while analyzing fsysdep_shell
ERROR   | 2021-12-02 03:14:01,788 | root     | b'out of memory'
ERROR   | 2021-12-02 03:14:01,788 | root     | got an error while analyzing fsysdep_chdir
ERROR   | 2021-12-02 03:14:08,720 | root     | b'out of memory'
ERROR   | 2021-12-02 03:14:08,721 | root     | got an error while analyzing esysdep_fopen
Killed
