ERROR   | 2021-12-01 21:21:41,733 | root     | list index out of range
ERROR   | 2021-12-01 21:21:41,734 | root     | got an error while analyzing vstrtold
ERROR   | 2021-12-01 21:49:12,278 | root     | b'out of memory'
ERROR   | 2021-12-01 21:49:12,278 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-01 21:49:12,982 | root     | b'out of memory'
ERROR   | 2021-12-01 21:49:12,983 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-01 21:50:35,838 | root     | b'out of memory'
ERROR   | 2021-12-01 21:50:35,838 | root     | got an error while analyzing version_etc_arn
ERROR   | 2021-12-01 21:50:37,072 | root     | b'out of memory'
ERROR   | 2021-12-01 21:50:37,076 | root     | got an error while analyzing version_etc_ar
ERROR   | 2021-12-01 21:50:37,606 | root     | b'out of memory'
ERROR   | 2021-12-01 21:50:37,611 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-12-01 21:51:14,784 | root     | b'out of memory'
ERROR   | 2021-12-01 21:51:14,784 | root     | got an error while analyzing close_stream
Killed
