WARNING | 2021-12-01 22:10:28,161 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-01 22:10:28,162 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_sensor_units
WARNING | 2021-12-01 22:10:28,162 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_sensor_types
WARNING | 2021-12-01 22:10:28,162 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_oem_sensor_type
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sensor_event_enable_rs
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_oem_device_type
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_device_types
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sensor_hysteresis_rs
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sensor_thresholds_rs
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sdr_repository_allocation_info_rs
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sdr_repository_info_rs
WARNING | 2021-12-01 22:10:28,163 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_entity_ids
WARNING | 2021-12-01 22:10:28,173 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-01 23:56:12,095 | root     | argument 3: <class 'RecursionError'>: maximum recursion depth exceeded in __instancecheck__
ERROR   | 2021-12-01 23:56:12,096 | root     | got an error while analyzing hostlist_shift_iterators
