WARNING | 2021-12-02 01:21:37,424 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 01:21:37,424 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 01:21:37,424 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 01:21:37,424 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 01:21:37,425 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 01:21:37,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 01:21:37,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 01:21:37,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 01:21:37,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 01:21:37,426 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 01:21:37,433 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 01:41:01,262 | root     | b'out of memory'
ERROR   | 2021-12-02 01:41:01,262 | root     | got an error while analyzing part_match
ERROR   | 2021-12-02 01:41:01,828 | root     | b'out of memory'
ERROR   | 2021-12-02 01:41:01,828 | root     | got an error while analyzing match_char_class
ERROR   | 2021-12-02 01:41:10,758 | root     | b'out of memory'
ERROR   | 2021-12-02 01:41:10,758 | root     | got an error while analyzing mh_get_dir
ERROR   | 2021-12-02 01:41:11,343 | root     | b'out of memory'
ERROR   | 2021-12-02 01:41:11,343 | root     | got an error while analyzing mh_expand_name
ERROR   | 2021-12-02 01:41:11,919 | root     | b'out of memory'
ERROR   | 2021-12-02 01:41:11,919 | root     | got an error while analyzing mh_find_file
Killed
