WARNING | 2021-12-01 22:18:11,229 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-01 22:18:11,230 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_sensor_units
WARNING | 2021-12-01 22:18:11,230 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_sensor_types
WARNING | 2021-12-01 22:18:11,230 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_oem_sensor_type
WARNING | 2021-12-01 22:18:11,231 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sel_info_rs
WARNING | 2021-12-01 22:18:11,238 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-01 23:48:08,570 | root     | list index out of range
ERROR   | 2021-12-01 23:48:08,570 | root     | got an error while analyzing cbuf_writer
ERROR   | 2021-12-01 23:48:09,319 | root     | b'out of memory'
ERROR   | 2021-12-01 23:48:09,323 | root     | got an error while analyzing cbuf_grow
ERROR   | 2021-12-01 23:48:10,102 | root     | b'out of memory'
ERROR   | 2021-12-01 23:48:10,104 | root     | got an error while analyzing cbuf_shrink
ERROR   | 2021-12-01 23:49:49,847 | root     | b'out of memory'
ERROR   | 2021-12-01 23:49:49,848 | root     | got an error while analyzing conffile_parse
ERROR   | 2021-12-01 23:50:41,670 | root     | b'out of memory'
ERROR   | 2021-12-01 23:50:41,670 | root     | got an error while analyzing err_exit
ERROR   | 2021-12-01 23:50:43,188 | root     | b'out of memory'
ERROR   | 2021-12-01 23:50:43,189 | root     | got an error while analyzing fd_read_n
ERROR   | 2021-12-01 23:50:45,019 | root     | b'out of memory'
ERROR   | 2021-12-01 23:50:45,024 | root     | got an error while analyzing fd_read_line
ERROR   | 2021-12-01 23:56:41,851 | root     | b'out of memory'
