ERROR   | 2021-12-01 21:53:08,377 | root     | list index out of range
ERROR   | 2021-12-01 21:53:08,379 | root     | got an error while analyzing finalize_numeric_output_buffer
ERROR   | 2021-12-01 21:53:17,548 | root     | list index out of range
ERROR   | 2021-12-01 21:53:17,549 | root     | got an error while analyzing is_zero
ERROR   | 2021-12-01 21:53:18,088 | root     | list index out of range
ERROR   | 2021-12-01 21:53:18,088 | root     | got an error while analyzing is_signed_zero
ERROR   | 2021-12-01 21:53:20,963 | root     | list index out of range
ERROR   | 2021-12-01 21:53:20,963 | root     | got an error while analyzing cmp_long_double
ERROR   | 2021-12-01 21:53:21,603 | root     | list index out of range
ERROR   | 2021-12-01 21:53:21,603 | root     | got an error while analyzing median_value
ERROR   | 2021-12-01 21:54:56,280 | root     | list index out of range
ERROR   | 2021-12-01 21:54:56,280 | root     | got an error while analyzing percentile_value
ERROR   | 2021-12-01 21:54:56,850 | root     | list index out of range
ERROR   | 2021-12-01 21:54:56,850 | root     | got an error while analyzing mad_value
ERROR   | 2021-12-01 21:54:57,392 | root     | list index out of range
ERROR   | 2021-12-01 21:54:57,392 | root     | got an error while analyzing arithmetic_mean_value
ERROR   | 2021-12-01 21:54:58,884 | root     | list index out of range
ERROR   | 2021-12-01 21:54:58,885 | root     | got an error while analyzing variance_value
ERROR   | 2021-12-01 21:54:59,938 | root     | list index out of range
ERROR   | 2021-12-01 21:54:59,938 | root     | got an error while analyzing covariance_value
ERROR   | 2021-12-01 21:55:00,983 | root     | list index out of range
ERROR   | 2021-12-01 21:55:00,983 | root     | got an error while analyzing pearson_corr_value
ERROR   | 2021-12-01 21:55:02,844 | root     | list index out of range
ERROR   | 2021-12-01 21:55:02,844 | root     | got an error while analyzing stdev_value
ERROR   | 2021-12-01 21:55:03,911 | root     | list index out of range
ERROR   | 2021-12-01 21:55:03,911 | root     | got an error while analyzing skewness_value
ERROR   | 2021-12-01 21:55:06,443 | root     | list index out of range
ERROR   | 2021-12-01 21:55:06,443 | root     | got an error while analyzing SES_value
ERROR   | 2021-12-01 21:55:07,499 | root     | list index out of range
ERROR   | 2021-12-01 21:55:07,499 | root     | got an error while analyzing skewnessZ_value
ERROR   | 2021-12-01 21:55:08,547 | root     | list index out of range
ERROR   | 2021-12-01 21:55:08,547 | root     | got an error while analyzing excess_kurtosis_value
ERROR   | 2021-12-01 21:55:09,592 | root     | list index out of range
ERROR   | 2021-12-01 21:55:09,592 | root     | got an error while analyzing SEK_value
ERROR   | 2021-12-01 21:55:10,634 | root     | list index out of range
ERROR   | 2021-12-01 21:55:10,634 | root     | got an error while analyzing kurtosisZ_value
ERROR   | 2021-12-01 21:55:11,651 | root     | list index out of range
ERROR   | 2021-12-01 21:55:11,651 | root     | got an error while analyzing pchisq_df2
ERROR   | 2021-12-01 21:55:12,682 | root     | list index out of range
ERROR   | 2021-12-01 21:55:12,683 | root     | got an error while analyzing jarque_bera_pvalue
ERROR   | 2021-12-01 21:55:13,717 | root     | list index out of range
ERROR   | 2021-12-01 21:55:13,717 | root     | got an error while analyzing dagostino_pearson_omnibus_pvalue
ERROR   | 2021-12-01 21:55:14,736 | root     | list index out of range
ERROR   | 2021-12-01 21:55:14,736 | root     | got an error while analyzing mode_value
ERROR   | 2021-12-01 21:55:15,753 | root     | list index out of range
ERROR   | 2021-12-01 21:55:15,753 | root     | got an error while analyzing trimmed_mean_value
Killed
