ERROR   | 2021-12-01 23:26:22,402 | root     | list index out of range
ERROR   | 2021-12-01 23:26:22,403 | root     | got an error while analyzing fillbuf
ERROR   | 2021-12-01 23:28:49,373 | root     | b'out of memory'
ERROR   | 2021-12-01 23:28:49,374 | root     | got an error while analyzing grepdir
ERROR   | 2021-12-01 23:29:06,566 | root     | b'out of memory'
ERROR   | 2021-12-01 23:29:06,566 | root     | got an error while analyzing prepend_args
ERROR   | 2021-12-01 23:35:48,751 | root     | b'out of memory'
ERROR   | 2021-12-01 23:35:48,751 | root     | got an error while analyzing kwsincr
ERROR   | 2021-12-01 23:35:54,244 | root     | b'out of memory'
ERROR   | 2021-12-01 23:35:54,244 | root     | got an error while analyzing kwsprep
ERROR   | 2021-12-01 23:35:55,119 | root     | b'out of memory'
ERROR   | 2021-12-01 23:35:55,119 | root     | got an error while analyzing bmexec
ERROR   | 2021-12-01 23:35:55,998 | root     | b'out of memory'
ERROR   | 2021-12-01 23:35:55,999 | root     | got an error while analyzing cwexec
ERROR   | 2021-12-01 23:35:56,878 | root     | b'out of memory'
ERROR   | 2021-12-01 23:35:56,878 | root     | got an error while analyzing kwsexec
ERROR   | 2021-12-01 23:39:00,946 | root     | b'out of memory'
ERROR   | 2021-12-01 23:39:00,947 | root     | got an error while analyzing copytoks
ERROR   | 2021-12-01 23:39:05,583 | root     | b'out of memory'
ERROR   | 2021-12-01 23:39:05,583 | root     | got an error while analyzing copy
ERROR   | 2021-12-01 23:41:08,645 | root     | b'out of memory'
ERROR   | 2021-12-01 23:41:08,651 | root     | got an error while analyzing state_index
ERROR   | 2021-12-01 23:41:09,686 | root     | b'out of memory'
ERROR   | 2021-12-01 23:41:09,688 | root     | got an error while analyzing epsclosure
ERROR   | 2021-12-01 23:41:12,204 | root     | b'out of memory'
ERROR   | 2021-12-01 23:41:12,207 | root     | got an error while analyzing dfaanalyze
ERROR   | 2021-12-01 23:41:23,950 | root     | b'out of memory'
ERROR   | 2021-12-01 23:41:23,955 | root     | got an error while analyzing dfastate
ERROR   | 2021-12-01 23:41:28,783 | root     | list index out of range
ERROR   | 2021-12-01 23:41:28,785 | root     | got an error while analyzing build_state
ERROR   | 2021-12-01 23:42:34,956 | root     | b'out of memory'
ERROR   | 2021-12-01 23:42:34,964 | root     | got an error while analyzing build_state_zero
ERROR   | 2021-12-01 23:42:36,096 | root     | b'out of memory'
ERROR   | 2021-12-01 23:42:36,100 | root     | got an error while analyzing realloc_trans_if_necessary
ERROR   | 2021-12-01 23:43:09,920 | root     | b'out of memory'
ERROR   | 2021-12-01 23:43:09,925 | root     | got an error while analyzing match_anychar
ERROR   | 2021-12-01 23:44:41,710 | root     | b'out of memory'
ERROR   | 2021-12-01 23:44:41,711 | root     | got an error while analyzing match_mb_charset
ERROR   | 2021-12-01 23:44:42,862 | root     | b'out of memory'
ERROR   | 2021-12-01 23:44:42,862 | root     | got an error while analyzing check_matching_with_multibyte_ops
ERROR   | 2021-12-01 23:44:44,022 | root     | b'out of memory'
ERROR   | 2021-12-01 23:44:44,023 | root     | got an error while analyzing transit_state_consume_1char
ERROR   | 2021-12-01 23:44:45,127 | root     | b'out of memory'
ERROR   | 2021-12-01 23:44:45,127 | root     | got an error while analyzing transit_state
ERROR   | 2021-12-01 23:44:47,396 | root     | b'out of memory'
ERROR   | 2021-12-01 23:44:47,396 | root     | got an error while analyzing prepare_wc_buf
ERROR   | 2021-12-01 23:44:48,337 | root     | b'out of memory'
ERROR   | 2021-12-01 23:44:48,337 | root     | got an error while analyzing dfaexec
