ERROR   | 2021-12-01 23:47:06,129 | root     | list index out of range
ERROR   | 2021-12-01 23:47:06,129 | root     | got an error while analyzing fillbuf
ERROR   | 2021-12-01 23:59:38,754 | root     | b'out of memory'
ERROR   | 2021-12-01 23:59:38,754 | root     | got an error while analyzing prepend_args
ERROR   | 2021-12-01 23:59:42,295 | root     | b'out of memory'
ERROR   | 2021-12-01 23:59:42,295 | root     | got an error while analyzing prepend_default_options
ERROR   | 2021-12-01 23:59:50,538 | root     | b'out of memory'
ERROR   | 2021-12-01 23:59:50,538 | root     | got an error while analyzing parse_grep_colors
ERROR   | 2021-12-01 23:59:54,463 | root     | b'out of memory'
ERROR   | 2021-12-01 23:59:54,463 | root     | got an error while analyzing kwsalloc
ERROR   | 2021-12-01 23:59:57,897 | root     | b'out of memory'
ERROR   | 2021-12-01 23:59:57,897 | root     | got an error while analyzing kwsincr
ERROR   | 2021-12-02 00:00:05,767 | root     | b'out of memory'
ERROR   | 2021-12-02 00:00:05,767 | root     | got an error while analyzing treefails
ERROR   | 2021-12-02 00:00:21,241 | root     | list index out of range
ERROR   | 2021-12-02 00:00:21,242 | root     | got an error while analyzing kwsprep
ERROR   | 2021-12-02 00:00:24,822 | root     | list index out of range
ERROR   | 2021-12-02 00:00:24,822 | root     | got an error while analyzing bmexec
ERROR   | 2021-12-02 00:00:28,377 | root     | list index out of range
ERROR   | 2021-12-02 00:00:28,377 | root     | got an error while analyzing cwexec
ERROR   | 2021-12-02 00:00:31,914 | root     | list index out of range
ERROR   | 2021-12-02 00:00:31,915 | root     | got an error while analyzing kwsexec
ERROR   | 2021-12-02 00:00:35,444 | root     | list index out of range
ERROR   | 2021-12-02 00:00:35,444 | root     | got an error while analyzing kwsfree
ERROR   | 2021-12-02 00:00:38,989 | root     | b'out of memory'
ERROR   | 2021-12-02 00:00:38,990 | root     | got an error while analyzing tstbit
ERROR   | 2021-12-02 00:00:42,548 | root     | list index out of range
ERROR   | 2021-12-02 00:00:42,548 | root     | got an error while analyzing setbit
ERROR   | 2021-12-02 00:00:46,113 | root     | list index out of range
ERROR   | 2021-12-02 00:00:46,113 | root     | got an error while analyzing clrbit
ERROR   | 2021-12-02 00:00:56,400 | root     | list index out of range
ERROR   | 2021-12-02 00:00:56,400 | root     | got an error while analyzing notset
ERROR   | 2021-12-02 00:02:45,617 | root     | b'out of memory'
ERROR   | 2021-12-02 00:02:45,617 | root     | got an error while analyzing copytoks
ERROR   | 2021-12-02 00:02:51,560 | root     | b'out of memory'
ERROR   | 2021-12-02 00:02:51,560 | root     | got an error while analyzing dfaparse
ERROR   | 2021-12-02 00:02:52,487 | root     | b'out of memory'
ERROR   | 2021-12-02 00:02:52,487 | root     | got an error while analyzing copy
ERROR   | 2021-12-02 00:02:53,396 | root     | b'out of memory'
ERROR   | 2021-12-02 00:02:53,396 | root     | got an error while analyzing insert
ERROR   | 2021-12-02 00:03:25,168 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:25,168 | root     | got an error while analyzing state_index
ERROR   | 2021-12-02 00:03:26,058 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:26,058 | root     | got an error while analyzing epsclosure
ERROR   | 2021-12-02 00:03:26,955 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:26,955 | root     | got an error while analyzing dfaanalyze
ERROR   | 2021-12-02 00:03:27,889 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:27,890 | root     | got an error while analyzing dfastate
ERROR   | 2021-12-02 00:03:28,781 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:28,782 | root     | got an error while analyzing build_state
ERROR   | 2021-12-02 00:03:29,671 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:29,671 | root     | got an error while analyzing build_state_zero
ERROR   | 2021-12-02 00:03:30,561 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:30,561 | root     | got an error while analyzing realloc_trans_if_necessary
ERROR   | 2021-12-02 00:03:31,467 | root     | b'out of memory'
ERROR   | 2021-12-02 00:03:31,467 | root     | got an error while analyzing transit_state_singlebyte
ERROR   | 2021-12-02 00:03:32,360 | root     | b'out of memory'
