WARNING | 2021-12-02 00:52:25,762 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_ldap_module
WARNING | 2021-12-02 00:52:25,762 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_tls_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_virtual_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_facility
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_alloc_die_hook
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_system_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_gsasl_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_generic_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_sql_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_pam_module
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pam_service
WARNING | 2021-12-02 00:52:25,763 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_syslog
WARNING | 2021-12-02 00:52:25,764 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 00:52:25,764 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_auth_radius_module
WARNING | 2021-12-02 00:52:25,764 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 00:52:25,764 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_log_tag
WARNING | 2021-12-02 00:52:25,771 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 00:52:49,392 | root     | list index out of range
ERROR   | 2021-12-02 00:52:49,393 | root     | got an error while analyzing sigpipe
ERROR   | 2021-12-02 02:03:59,007 | root     | b'out of memory'
ERROR   | 2021-12-02 02:03:59,008 | root     | got an error while analyzing namespace_init
ERROR   | 2021-12-02 02:03:59,984 | root     | b'out of memory'
ERROR   | 2021-12-02 02:03:59,984 | root     | got an error while analyzing prefix_translate_name
ERROR   | 2021-12-02 02:04:19,845 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:19,845 | root     | got an error while analyzing extract_username
ERROR   | 2021-12-02 02:04:26,815 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:26,815 | root     | got an error while analyzing namespace_get_name
ERROR   | 2021-12-02 02:04:28,447 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:28,447 | root     | got an error while analyzing prefix_printer
ERROR   | 2021-12-02 02:04:30,124 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:30,125 | root     | got an error while analyzing print_namespace
ERROR   | 2021-12-02 02:04:36,098 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:36,098 | root     | got an error while analyzing parsebuf_free
ERROR   | 2021-12-02 02:04:37,779 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:37,779 | root     | got an error while analyzing imap4d_parsebuf_exit
ERROR   | 2021-12-02 02:04:39,504 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:39,504 | root     | got an error while analyzing pbcopy
ERROR   | 2021-12-02 02:04:42,711 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:42,711 | root     | got an error while analyzing imap4d_parsebuf_peek
ERROR   | 2021-12-02 02:04:44,400 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:44,400 | root     | got an error while analyzing imap4d_parsebuf_next
ERROR   | 2021-12-02 02:04:46,502 | root     | list index out of range
ERROR   | 2021-12-02 02:04:46,502 | root     | got an error while analyzing imap4d_with_parsebuf
ERROR   | 2021-12-02 02:04:54,585 | root     | b'out of memory'
ERROR   | 2021-12-02 02:04:54,585 | root     | got an error while analyzing des_fixup_key_parity
ERROR   | 2021-12-02 02:05:01,408 | root     | b'out of memory'
ERROR   | 2021-12-02 02:05:01,408 | root     | got an error while analyzing decode64_buf
ERROR   | 2021-12-02 02:05:18,098 | root     | b'out of memory'
ERROR   | 2021-12-02 02:05:18,099 | root     | got an error while analyzing addsize
ERROR   | 2021-12-02 02:05:32,536 | root     | b'out of memory'
ERROR   | 2021-12-02 02:05:32,537 | root     | got an error while analyzing make_interdir
ERROR   | 2021-12-02 02:06:01,528 | root     | list index out of range
ERROR   | 2021-12-02 02:06:01,529 | root     | got an error while analyzing imap4d_search0
ERROR   | 2021-12-02 02:06:03,297 | root     | b'out of memory'
ERROR   | 2021-12-02 02:06:03,297 | root     | got an error while analyzing do_search
ERROR   | 2021-12-02 02:06:05,334 | root     | list index out of range
ERROR   | 2021-12-02 02:06:05,334 | root     | got an error while analyzing parse_gettoken
ERROR   | 2021-12-02 02:06:07,061 | root     | b'out of memory'
ERROR   | 2021-12-02 02:06:07,061 | root     | got an error while analyzing parse_free_mem
ERROR   | 2021-12-02 02:06:58,581 | root     | list index out of range
ERROR   | 2021-12-02 02:06:58,581 | root     | got an error while analyzing cond_msgset
ERROR   | 2021-12-02 02:06:59,091 | root     | b'out of memory'
ERROR   | 2021-12-02 02:06:59,092 | root     | got an error while analyzing cond_bcc
ERROR   | 2021-12-02 02:06:59,589 | root     | b'out of memory'
ERROR   | 2021-12-02 02:06:59,589 | root     | got an error while analyzing cond_before
ERROR   | 2021-12-02 02:07:00,087 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:00,088 | root     | got an error while analyzing cond_body
ERROR   | 2021-12-02 02:07:00,587 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:00,588 | root     | got an error while analyzing cond_cc
ERROR   | 2021-12-02 02:07:01,088 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:01,088 | root     | got an error while analyzing cond_from
ERROR   | 2021-12-02 02:07:01,601 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:01,601 | root     | got an error while analyzing cond_header
ERROR   | 2021-12-02 02:07:02,102 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:02,102 | root     | got an error while analyzing cond_keyword
ERROR   | 2021-12-02 02:07:02,608 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:02,608 | root     | got an error while analyzing cond_larger
ERROR   | 2021-12-02 02:07:03,106 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:03,106 | root     | got an error while analyzing cond_on
ERROR   | 2021-12-02 02:07:03,603 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:03,603 | root     | got an error while analyzing cond_sentbefore
ERROR   | 2021-12-02 02:07:05,090 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:05,090 | root     | got an error while analyzing cond_senton
ERROR   | 2021-12-02 02:07:05,595 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:05,595 | root     | got an error while analyzing cond_sentsince
ERROR   | 2021-12-02 02:07:06,105 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:06,105 | root     | got an error while analyzing cond_since
ERROR   | 2021-12-02 02:07:06,611 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:06,611 | root     | got an error while analyzing cond_smaller
ERROR   | 2021-12-02 02:07:07,122 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:07,122 | root     | got an error while analyzing cond_subject
ERROR   | 2021-12-02 02:07:07,634 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:07,634 | root     | got an error while analyzing cond_text
ERROR   | 2021-12-02 02:07:08,147 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:08,147 | root     | got an error while analyzing cond_to
ERROR   | 2021-12-02 02:07:08,667 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:08,667 | root     | got an error while analyzing cond_uid
ERROR   | 2021-12-02 02:07:17,295 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:17,295 | root     | got an error while analyzing imap4d_starttls
ERROR   | 2021-12-02 02:07:17,808 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:17,808 | root     | got an error while analyzing tls_encryption_on
ERROR   | 2021-12-02 02:07:25,363 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:25,363 | root     | got an error while analyzing store_thunk
ERROR   | 2021-12-02 02:07:37,516 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:37,516 | root     | got an error while analyzing util_getcommand
ERROR   | 2021-12-02 02:07:50,144 | root     | b'out of memory'
ERROR   | 2021-12-02 02:07:50,145 | root     | got an error while analyzing mu_tcp_wrapper_prefork
