WARNING | 2021-12-02 02:07:58,892 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_config_dir
WARNING | 2021-12-02 02:07:58,893 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_log_dir
WARNING | 2021-12-02 02:07:58,893 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_utmp_file
WARNING | 2021-12-02 02:07:58,893 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_wtmp_file
WARNING | 2021-12-02 02:07:58,895 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 02:21:14,924 | root     | b'out of memory'
ERROR   | 2021-12-02 02:21:14,932 | root     | got an error while analyzing convert_options
ERROR   | 2021-12-02 02:21:15,698 | root     | b'out of memory'
ERROR   | 2021-12-02 02:21:15,703 | root     | got an error while analyzing parser_convert
ERROR   | 2021-12-02 02:21:28,616 | root     | b'out of memory'
ERROR   | 2021-12-02 02:21:28,627 | root     | got an error while analyzing calc_sizes
ERROR   | 2021-12-02 02:29:44,491 | root     | b'out of memory'
ERROR   | 2021-12-02 02:29:44,491 | root     | got an error while analyzing parser_parse_next
ERROR   | 2021-12-02 02:32:18,017 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:18,017 | root     | got an error while analyzing make_hol
ERROR   | 2021-12-02 02:32:18,589 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:18,589 | root     | got an error while analyzing hol_free
ERROR   | 2021-12-02 02:32:18,851 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:18,851 | root     | got an error while analyzing hol_entry_short_iterate
ERROR   | 2021-12-02 02:32:19,443 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:19,444 | root     | got an error while analyzing hol_entry_first_short
ERROR   | 2021-12-02 02:32:19,699 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:19,700 | root     | got an error while analyzing hol_entry_first_long
ERROR   | 2021-12-02 02:32:19,959 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:19,959 | root     | got an error while analyzing hol_find_entry
ERROR   | 2021-12-02 02:32:20,881 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:20,881 | root     | got an error while analyzing hol_cluster_cmp
ERROR   | 2021-12-02 02:32:21,146 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:21,146 | root     | got an error while analyzing hol_cluster_base
ERROR   | 2021-12-02 02:32:21,713 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:21,714 | root     | got an error while analyzing canon_doc_option
ERROR   | 2021-12-02 02:32:21,976 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:21,976 | root     | got an error while analyzing hol_entry_cmp
ERROR   | 2021-12-02 02:32:22,466 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:22,466 | root     | got an error while analyzing hol_sort
ERROR   | 2021-12-02 02:32:22,734 | root     | b'out of memory'
ERROR   | 2021-12-02 02:32:22,734 | root     | got an error while analyzing hol_append
ERROR   | 2021-12-02 02:34:32,282 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:32,283 | root     | got an error while analyzing hol_entry_help
ERROR   | 2021-12-02 02:34:32,543 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:32,543 | root     | got an error while analyzing hol_help
ERROR   | 2021-12-02 02:34:32,799 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:32,800 | root     | got an error while analyzing add_argless_short_opt
ERROR   | 2021-12-02 02:34:33,064 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:33,064 | root     | got an error while analyzing usage_argful_short_opt
ERROR   | 2021-12-02 02:34:33,327 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:33,327 | root     | got an error while analyzing usage_long_opt
ERROR   | 2021-12-02 02:34:33,587 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:33,587 | root     | got an error while analyzing hol_usage
ERROR   | 2021-12-02 02:34:33,844 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:33,844 | root     | got an error while analyzing argp_hol
ERROR   | 2021-12-02 02:34:34,104 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:34,104 | root     | got an error while analyzing argp_args_levels
ERROR   | 2021-12-02 02:34:34,366 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:34,366 | root     | got an error while analyzing argp_args_usage
ERROR   | 2021-12-02 02:34:34,635 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:34,635 | root     | got an error while analyzing argp_doc
ERROR   | 2021-12-02 02:34:36,801 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:36,801 | root     | got an error while analyzing exchange
ERROR   | 2021-12-02 02:34:37,644 | root     | b'out of memory'
ERROR   | 2021-12-02 02:34:37,644 | root     | got an error while analyzing argp_fmtstream_free
