WARNING | 2021-12-02 01:09:40,800 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 01:09:40,801 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 01:09:40,802 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 01:09:40,808 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 01:25:24,512 | root     | list index out of range
ERROR   | 2021-12-02 01:25:24,512 | root     | got an error while analyzing mh_opt_notimpl
ERROR   | 2021-12-02 01:25:25,096 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:25,096 | root     | got an error while analyzing mh_opt_notimpl_warning
ERROR   | 2021-12-02 01:25:25,699 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:25,699 | root     | got an error while analyzing mh_opt_clear_string
ERROR   | 2021-12-02 01:25:26,321 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:26,321 | root     | got an error while analyzing mh_opt_find_file
ERROR   | 2021-12-02 01:25:26,958 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:26,958 | root     | got an error while analyzing mh_opt_read_formfile
ERROR   | 2021-12-02 01:25:27,648 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:27,648 | root     | got an error while analyzing mh_opt_parse_formfile
ERROR   | 2021-12-02 01:25:28,343 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:28,343 | root     | got an error while analyzing mh_opt_parse_format
ERROR   | 2021-12-02 01:25:29,047 | root     | b'out of memory'
ERROR   | 2021-12-02 01:25:29,047 | root     | got an error while analyzing mh_read_property_file
Killed
