WARNING | 2021-12-02 02:03:37,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-02 02:03:37,496 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_config_dir
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_getc_function
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_source_info_option
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_log_dir
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_instream
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_utmp_file
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_wtmp_file
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_bug_report_address
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_resolve_hostnames
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_acct_dir
WARNING | 2021-12-02 02:03:37,497 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_pid_dir
WARNING | 2021-12-02 02:03:37,505 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 03:04:46,280 | root     | list index out of range
ERROR   | 2021-12-02 03:04:46,281 | root     | got an error while analyzing cc_symbol_print
ERROR   | 2021-12-02 03:04:52,079 | root     | b'out of memory'
ERROR   | 2021-12-02 03:04:52,079 | root     | got an error while analyzing cc_reduce_print
ERROR   | 2021-12-02 03:06:03,995 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:03,995 | root     | got an error while analyzing copy_digit
ERROR   | 2021-12-02 03:06:14,197 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:14,197 | root     | got an error while analyzing cfg_malloc
ERROR   | 2021-12-02 03:06:16,141 | root     | b'out of memory'
ERROR   | 2021-12-02 03:06:16,141 | root     | got an error while analyzing cfg_type_error
ERROR   | 2021-12-02 03:07:12,681 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:12,681 | root     | got an error while analyzing radius_switch_to_user
ERROR   | 2021-12-02 03:07:14,565 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:14,566 | root     | got an error while analyzing radius_exec_command
ERROR   | 2021-12-02 03:07:16,491 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:16,491 | root     | got an error while analyzing radius_exec_program
ERROR   | 2021-12-02 03:07:20,584 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:20,584 | root     | got an error while analyzing filter_cleanup_proc
ERROR   | 2021-12-02 03:07:24,266 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:24,266 | root     | got an error while analyzing filter_close
ERROR   | 2021-12-02 03:07:27,299 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:27,299 | root     | got an error while analyzing filter_kill
ERROR   | 2021-12-02 03:07:29,274 | root     | list index out of range
ERROR   | 2021-12-02 03:07:29,274 | root     | got an error while analyzing filter_open
ERROR   | 2021-12-02 03:07:31,166 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:31,166 | root     | got an error while analyzing filter_xlate
ERROR   | 2021-12-02 03:07:35,495 | root     | list index out of range
ERROR   | 2021-12-02 03:07:35,495 | root     | got an error while analyzing filter_read
ERROR   | 2021-12-02 03:07:42,346 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:42,346 | root     | got an error while analyzing free_symbol_entry
ERROR   | 2021-12-02 03:07:54,215 | root     | b'out of memory'
ERROR   | 2021-12-02 03:07:54,215 | root     | got an error while analyzing locus_dup
ERROR   | 2021-12-02 03:07:57,166 | root     | b'out of memory'
