WARNING | 2021-12-02 01:25:45,558 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-02 01:25:45,559 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-02 01:25:45,560 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-02 01:25:45,566 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 01:42:07,139 | root     | b'out of memory'
ERROR   | 2021-12-02 01:42:07,151 | root     | got an error while analyzing print_hdr_segment
ERROR   | 2021-12-02 01:42:15,466 | root     | b'out of memory'
ERROR   | 2021-12-02 01:42:15,471 | root     | got an error while analyzing print_hdr_string
ERROR   | 2021-12-02 01:42:24,849 | root     | b'out of memory'
ERROR   | 2021-12-02 01:42:24,877 | root     | got an error while analyzing print_simple_segment
ERROR   | 2021-12-02 01:43:27,930 | root     | b'out of memory'
ERROR   | 2021-12-02 01:43:27,930 | root     | got an error while analyzing reset_fmt_defaults
ERROR   | 2021-12-02 01:43:28,632 | root     | b'out of memory'
ERROR   | 2021-12-02 01:43:28,632 | root     | got an error while analyzing format_num
ERROR   | 2021-12-02 01:43:29,466 | root     | b'out of memory'
ERROR   | 2021-12-02 01:43:29,466 | root     | got an error while analyzing format_str
ERROR   | 2021-12-02 01:43:49,038 | root     | list index out of range
ERROR   | 2021-12-02 01:43:49,041 | root     | got an error while analyzing mh_fvm_run
ERROR   | 2021-12-02 01:44:23,650 | root     | b'out of memory'
ERROR   | 2021-12-02 01:44:23,650 | root     | got an error while analyzing mh_format_str
ERROR   | 2021-12-02 01:44:25,846 | root     | b'out of memory'
ERROR   | 2021-12-02 01:44:25,847 | root     | got an error while analyzing builtin_msg
ERROR   | 2021-12-02 01:44:26,549 | root     | b'out of memory'
ERROR   | 2021-12-02 01:44:26,549 | root     | got an error while analyzing builtin_cur
ERROR   | 2021-12-02 01:44:35,003 | root     | b'out of memory'
ERROR   | 2021-12-02 01:44:35,006 | root     | got an error while analyzing builtin_size
ERROR   | 2021-12-02 01:50:32,463 | root     | b'out of memory'
ERROR   | 2021-12-02 01:50:32,469 | root     | got an error while analyzing mh_fvm_create
ERROR   | 2021-12-02 01:50:34,267 | root     | b'out of memory'
ERROR   | 2021-12-02 01:50:34,268 | root     | got an error while analyzing mh_fvm_set_output
ERROR   | 2021-12-02 01:50:34,979 | root     | b'out of memory'
ERROR   | 2021-12-02 01:50:34,979 | root     | got an error while analyzing mh_fvm_set_width
ERROR   | 2021-12-02 01:50:35,678 | root     | b'out of memory'
ERROR   | 2021-12-02 01:50:35,678 | root     | got an error while analyzing mh_fvm_set_format
ERROR   | 2021-12-02 01:51:25,471 | root     | b'out of memory'
ERROR   | 2021-12-02 01:51:25,472 | root     | got an error while analyzing part_match
ERROR   | 2021-12-02 01:51:26,203 | root     | b'out of memory'
ERROR   | 2021-12-02 01:51:26,203 | root     | got an error while analyzing match_char_class
ERROR   | 2021-12-02 01:52:48,757 | root     | b'out of memory'
ERROR   | 2021-12-02 01:52:48,761 | root     | got an error while analyzing mh_find_file
ERROR   | 2021-12-02 01:57:45,819 | root     | b'out of memory'
ERROR   | 2021-12-02 01:57:45,819 | root     | got an error while analyzing mh_quote
ERROR   | 2021-12-02 01:59:00,970 | root     | b'out of memory'
ERROR   | 2021-12-02 01:59:00,970 | root     | got an error while analyzing parse_cleartext
ERROR   | 2021-12-02 01:59:01,658 | root     | b'out of memory'
ERROR   | 2021-12-02 01:59:01,658 | root     | got an error while analyzing parse_component
ERROR   | 2021-12-02 01:59:04,614 | root     | b'out of memory'
ERROR   | 2021-12-02 01:59:04,614 | root     | got an error while analyzing mhl_format_destroy
ERROR   | 2021-12-02 02:01:19,474 | root     | b'out of memory'
ERROR   | 2021-12-02 02:01:19,474 | root     | got an error while analyzing want_header
