ERROR   | 2021-12-01 23:28:51,200 | root     | b'out of memory'
ERROR   | 2021-12-01 23:28:51,202 | root     | got an error while analyzing tunnel_read_request
ERROR   | 2021-12-01 23:28:51,407 | root     | b'out of memory'
ERROR   | 2021-12-01 23:28:51,408 | root     | got an error while analyzing tunnel_read
ERROR   | 2021-12-01 23:29:06,554 | root     | b'out of memory'
ERROR   | 2021-12-01 23:29:06,556 | root     | got an error while analyzing tunnel_accept
ERROR   | 2021-12-01 23:30:41,650 | root     | b'out of memory'
ERROR   | 2021-12-01 23:30:41,656 | root     | got an error while analyzing parse_header
ERROR   | 2021-12-01 23:31:15,848 | root     | b'out of memory'
ERROR   | 2021-12-01 23:31:15,858 | root     | got an error while analyzing http_parse_response
ERROR   | 2021-12-01 23:32:10,461 | root     | b'out of memory'
ERROR   | 2021-12-01 23:32:11,154 | root     | got an error while analyzing http_destroy_response
