WARNING | 2021-12-01 22:19:47,821 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_outstream
WARNING | 2021-12-01 22:19:47,822 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-01 22:19:47,822 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_line_buffer
WARNING | 2021-12-01 22:19:47,822 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-01 22:19:47,823 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_inhibit_completion
WARNING | 2021-12-01 22:19:47,823 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __gmp_version
WARNING | 2021-12-01 22:19:47,823 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-01 22:19:47,823 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_over
WARNING | 2021-12-01 22:19:47,836 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-01 22:49:07,790 | root     | 
ERROR   | 2021-12-01 22:49:07,790 | root     | got an error while analyzing yyparse
ERROR   | 2021-12-02 01:15:13,832 | root     | 
ERROR   | 2021-12-02 01:15:13,833 | root     | got an error while analyzing zzparse
ERROR   | 2021-12-02 01:42:21,044 | root     | b'out of memory'
ERROR   | 2021-12-02 01:42:21,049 | root     | got an error while analyzing srcfile_generator
Killed
